x_pos,race_local,group,race_display,series,x_prior,x_post,x_obs,x_proc_q25,x_proc_q75,x_total_q25,x_total_q75,x_q25,x_q75
1,R1,Stor Bane,'24-R1,Stor bane 2,0.0,,,-0.015584321956131885,0.015584321956131885,-0.037362490975983334,0.037362490975983334,-0.015584321956131885,0.015584321956131885
2,R2,Stor Bane,'24-R2,Stor bane 2,-0.0005388746119155,-0.019526734876358483,-0.025646638699416968,-0.016182794997196808,0.01510504577336581,-0.018788993204431965,0.017711243980600967,-0.016182794997196808,0.01510504577336581
3,R3,Stor Bane,'24-R3,Stor bane 2,-0.019555052760772927,,,-0.027960354474345694,-0.011149751047200158,-0.03934535077980382,0.00023524525825796908,-0.027960354474345694,-0.011149751047200158
4,R4,Stor Bane,'24-R4,Stor bane 2,-0.01979017232845532,-0.03255564662900995,-0.043883540453895975,-0.028269544312917137,-0.011310800343993501,-0.03174209783446077,-0.007838246822449874,-0.028269544312917137,-0.011310800343993501
5,R5,Stor Bane,'24-R5,Stor bane 2,-0.03270573794463568,,,-0.039290326663394166,-0.026121149225877195,-0.04922568000289132,-0.01618579588638004,-0.039290326663394166,-0.026121149225877195
6,R6,Stor Bane,'24-R6,Stor bane 2,-0.032658600839607414,,,-0.039335573525456455,-0.025981628153758374,-0.04388085507649668,-0.021436346602718148,-0.039335573525456455,-0.025981628153758374
7,R7,Stor Bane,'24-R7,Stor bane 2,-0.032873932315336946,,,-0.04014231644638061,-0.02560554818429328,-0.0502480674345525,-0.01549979719612139,-0.04014231644638061,-0.02560554818429328
8,R8,Stor Bane,'24-R8,Stor bane 2,-0.03323621197408648,-0.0506561995145964,-0.0629204539366679,-0.04034612868464827,-0.026126295263524692,-0.04261774891335281,-0.023854675034820153,-0.04034612868464827,-0.026126295263524692
9,R9,Stor Bane,'24-R9,Stor bane 2,-0.0538865363382677,-0.05370429986654544,-0.05125632141636238,-0.06353990977443347,-0.04423316290210193,-0.098320994433934,-0.009452078242601407,-0.06353990977443347,-0.04423316290210193
10,R10,Stor Bane,'24-R10,Stor bane 2,-0.05187941243178049,-0.0496711531301922,-0.03635628693783666,-0.060618683299334675,-0.04314014156422631,-0.0754157510201305,-0.02834307384343049,-0.060618683299334675,-0.04314014156422631
11,R11,Stor Bane,'24-R11,Stor bane 2,-0.051325352568386405,,,-0.06720558796320966,-0.03544511717356315,-0.11057007297336002,0.007919367836587213,-0.06720558796320966,-0.03544511717356315
12,R12,Stor Bane,'24-R12,Stor bane 2,-0.049826077059300374,,,-0.059484549567128016,-0.04016760455147273,-0.07688621376275405,-0.0227659403558467,-0.059484549567128016,-0.04016760455147273
13,R13,Stor Bane,'24-R13,Stor bane 2,-0.04905538616348133,,,-0.056846761056912526,-0.04126401127005014,-0.06166267057746711,-0.03644810174949555,-0.056846761056912526,-0.04126401127005014
14,R14,Stor Bane,'24-R14,Stor bane 2,-0.050252637542292936,-0.05275765697696573,-0.07461425066092353,-0.06359329267929835,-0.036911982405287515,-0.09219300001446301,-0.008312275070122867,-0.06359329267929835,-0.036911982405287515
15,R15,Stor Bane,'24-R15,Stor bane 2,-0.052657924253373845,,,-0.06576768046584595,-0.039548168040901735,-0.09346343681112562,-0.01185241169562206,-0.06576768046584595,-0.039548168040901735
16,R16,Stor Bane,'24-R16,Stor bane 2,-0.05482161388918055,,,-0.07447475210169568,-0.03516847567666541,-0.12127499466954628,0.011631766891185176,-0.07447475210169568,-0.03516847567666541
17,R17,Stor Bane,'24-R17,Stor bane 2,-0.05144276017687797,,,-0.06241644918420168,-0.040469071169554255,-0.07908671318117144,-0.023798807172584487,-0.06241644918420168,-0.040469071169554255
18,R18,Stor Bane,'24-R18,Stor bane 2,-0.050057199424360335,,,-0.05890665183570734,-0.04120774701301333,-0.06443090668619537,-0.035683492162525296,-0.05890665183570734,-0.04120774701301333
