x_pos,race_local,race_display,group,series,prior_pct,post_pct,obs_pct,proc_q25_pct,proc_q75_pct,total_q25_pct,total_q75_pct,q25_pct,q75_pct
1,R1,'24-R1,Stor Bane,Stor bane 2,0.019489348186541022,,,-1.3859802486844597,1.4449900196725762,-3.312942808049768,3.4667776640624037,-1.3859802486844597,1.4449900196725762
2,R2,'24-R2,Stor Bane,Stor bane 2,-0.0697089971178233,-2.749897844822957,-2.801658725065659,-1.4929402786198476,1.3740851484710603,-1.5062997079961948,1.387835265758941,-1.4929402786198476,1.3740851484710603
3,R3,'24-R3,Stor Bane,Stor bane 2,-2.749897844822957,,,-3.048800956880804,-2.4500732065614206,-4.962016318826579,-0.4862897668369559,-3.048800956880804,-2.4500732065614206
4,R4,'24-R4,Stor Bane,Stor bane 2,-2.750046020337016,-2.903445161607654,-4.449767831514961,-3.1236685876158132,-2.374982504368839,-3.9417701153125595,-1.5435370774598334,-3.1236685876158132,-2.374982504368839
5,R5,'24-R5,Stor Bane,Stor bane 2,-2.903445161607654,,,-3.3228471847869923,-2.482223700723274,-4.204880983520942,-1.584328530735113,-3.3228471847869923,-2.482223700723274
6,R6,'24-R6,Stor Bane,Stor bane 2,-2.9022207822087642,,,-3.3772580622783877,-2.424848022800319,-4.190332417395104,-1.5967911495116671,-3.3772580622783877,-2.424848022800319
7,R7,'24-R7,Stor Bane,Stor bane 2,-2.9035923873688363,,,-3.4280114283726237,-2.376325570994209,-4.126107644409071,-1.6654884907419953,-3.4280114283726237,-2.376325570994209
8,R8,'24-R8,Stor Bane,Stor bane 2,-2.915060409986636,-3.6643504283429995,-6.194796914526068,-3.483929647031636,-2.342838236921019,-4.128720062378221,-1.6860367220590589,-3.483929647031636,-2.342838236921019
9,R9,'24-R9,Stor Bane,Stor bane 2,-3.6643504283429995,-3.7003857745422253,-5.471100716918409,-4.210847594188394,-3.1147353817691847,-7.529229990052744,0.3620644382519078,-4.210847594188394,-3.1147353817691847
10,R10,'24-R10,Stor Bane,Stor bane 2,-3.7003857745422253,-3.74376993297979,-3.9490755994708304,-4.47532259973118,-2.9191623321211724,-5.567546202399276,-1.7963070212244414,-4.47532259973118,-2.9191623321211724
11,R11,'24-R11,Stor Bane,Stor bane 2,-3.74376993297979,,,-4.476587485441518,-3.0053304963007954,-9.00501643882693,1.8216770211995303,-4.476587485441518,-3.0053304963007954
12,R12,'24-R12,Stor Bane,Stor bane 2,-3.7425647643488436,,,-4.507925098098298,-2.971070136826026,-6.012978119620104,-1.4173057857067906,-4.507925098098298,-2.971070136826026
13,R13,'24-R13,Stor Bane,Stor bane 2,-3.7486146277384336,,,-4.544409548444039,-2.9461853176500297,-5.477534020366292,-1.9880714064765659,-4.544409548444039,-2.9461853176500297
14,R14,'24-R14,Stor Bane,Stor bane 2,-3.737541908443376,-3.940751213188276,-7.391959565737826,-4.561770853283164,-2.906194711729193,-7.272398932599122,-0.06793305163598218,-4.561770853283164,-2.906194711729193
15,R15,'24-R15,Stor Bane,Stor bane 2,-3.940751213188276,,,-4.770927120940649,-3.1033381034242136,-7.073820342246718,-0.702048534966282,-4.770927120940649,-3.1033381034242136
16,R16,'24-R16,Stor Bane,Stor bane 2,-3.935918343548972,,,-4.79439785277509,-3.069697829054885,-9.782010184455292,2.2889980519964936,-4.79439785277509,-3.069697829054885
17,R17,'24-R17,Stor Bane,Stor bane 2,-3.934197172199949,,,-4.82041418456437,-3.0397285942684316,-6.329597947299737,-1.4775396420568687,-4.82041418456437,-3.0397285942684316
18,R18,'24-R18,Stor Bane,Stor bane 2,-3.925568890008324,,,-4.821483649939406,-3.0212208902260507,-5.464284479715764,-2.361808314361158,-4.821483649939406,-3.0212208902260507
