x_pos,race_local,group,race_display,series,x_prior,x_post,x_obs,x_proc_q25,x_proc_q75,x_total_q25,x_total_q75,x_q25,x_q75
1,R1,Lille Bane,'24-R1,Lille bane 1,0.002059151654966746,,,-0.022367635634325582,0.026485938944259074,-0.025723747297345848,0.02984205060727934,-0.022367635634325582,0.026485938944259074
2,R2,Lille Bane,'24-R2,Lille bane 1,-0.008461708399607628,,,-0.03148977911189832,0.014566362312683061,-0.04104297953395678,0.024119562734741522,-0.03148977911189832,0.014566362312683061
3,R3,Lille Bane,'24-R3,Lille bane 1,-0.012695067865399614,,,-0.035867620298572045,0.010477484567772814,-0.0525054684026673,0.027115332671868077,-0.035867620298572045,0.010477484567772814
4,R4,Lille Bane,'24-R4,Lille bane 1,-0.03501303439001255,,,-0.0579343080813014,-0.0120917606987237,-0.06749487349797052,-0.002531195282054574,-0.0579343080813014,-0.0120917606987237
5,R5,Lille Bane,'24-R5,Lille bane 1,-0.03665697922688531,,,-0.05982196266041995,-0.01349199579335067,-0.06881007791004923,-0.004503880543721396,-0.05982196266041995,-0.01349199579335067
6,R6,Lille Bane,'24-R6,Lille bane 1,-0.04624808773470105,,,-0.06923001326177906,-0.023266162207623033,-0.09028638182471385,-0.002209793644688242,-0.06923001326177906,-0.023266162207623033
7,R7,Lille Bane,'24-R7,Lille bane 1,-0.045940783704333694,,,-0.06914363624019856,-0.02273793116846882,-0.07312382974183125,-0.01875773766683614,-0.06914363624019856,-0.02273793116846882
8,R8,Lille Bane,'24-R8,Lille bane 1,-0.042435647077383294,,,-0.06581784760972866,-0.019053446545037937,-0.0708868100450082,-0.013984484109758385,-0.06581784760972866,-0.019053446545037937
9,R9,Lille Bane,'24-R9,Lille bane 1,-0.0355744814811454,-0.0466475568077781,-0.09264646305191193,-0.059101274481653955,-0.012047688480636844,-0.09387706750811145,0.02272810454582066,-0.059101274481653955,-0.012047688480636844
10,R10,Lille Bane,'24-R10,Lille bane 1,-0.0466475568077781,-0.05843045349079469,-0.12428120193501202,-0.0699297608764124,-0.02336535273914381,-0.1077631589831386,0.014468045367582394,-0.0699297608764124,-0.02336535273914381
11,R11,Lille Bane,'24-R11,Lille bane 1,-0.05843045349079469,-0.07277377163769014,-0.14645647370423553,-0.08020207667709503,-0.03665883030449436,-0.11420153723890517,-0.0026593697426842144,-0.08020207667709503,-0.03665883030449436
12,R12,Lille Bane,'24-R12,Lille bane 1,-0.07277377163769014,-0.05811745531219242,-0.029393750694321347,-0.09312329921833648,-0.052424244057043795,-0.10781225551596066,-0.037735287759419624,-0.09312329921833648,-0.052424244057043795
13,R13,Lille Bane,'24-R13,Lille bane 1,-0.05811745531219242,,,-0.07503144565015044,-0.04120346497423441,-0.09970015212908415,-0.016534758495300693,-0.07503144565015044,-0.04120346497423441
14,R14,Lille Bane,'24-R14,Lille bane 1,-0.06019434172321098,-0.031390228244037956,0.015150662518512874,-0.07745670106232205,-0.04293198238409991,-0.08806461896518956,-0.0323240644812324,-0.07745670106232205,-0.04293198238409991
15,R15,Lille Bane,'24-R15,Lille bane 1,-0.031390228244037956,-0.036209854119482035,-0.15410905149992085,-0.045400270119173664,-0.017380186368902248,-0.10145298925757529,0.03867253276949937,-0.045400270119173664,-0.017380186368902248
16,R16,Lille Bane,'24-R16,Lille bane 1,-0.036209854119482035,-0.043436792368882905,-0.23604239067303362,-0.05039437914720025,-0.022025329091763822,-0.11194860447598154,0.03952889623701747,-0.05039437914720025,-0.022025329091763822
17,R17,Lille Bane,'24-R17,Lille bane 1,-0.043436792368882905,-0.0487466116945872,-0.09250407169979771,-0.05781933233791715,-0.029054252399848664,-0.08920980226224223,0.0023362175244764152,-0.05781933233791715,-0.029054252399848664
18,R18,Lille Bane,'24-R18,Lille bane 1,-0.0487466116945872,,,-0.06258759842863358,-0.034905624960540824,-0.06529376205771853,-0.03219946133145588,-0.06258759842863358,-0.034905624960540824
19,R1,Lille Bane,'25-R1,Lille bane 1,-0.04861899276303159,-0.07378857140087261,-0.12034299965397063,-0.07306395559220455,-0.024174029933858636,-0.08919535179457153,-0.008042633731491645,-0.07306395559220455,-0.024174029933858636
20,R2,Lille Bane,'25-R2,Lille bane 1,-0.07378857140087261,-0.09524280654766581,-0.268214816905904,-0.09344528539910851,-0.05413185740263671,-0.1334838856316118,-0.014093257170133426,-0.09344528539910851,-0.05413185740263671
21,R3,Lille Bane,'25-R3,Lille bane 1,-0.09524280654766581,,,-0.11414430420018423,-0.0763413088951474,-0.13124263693420796,-0.05924297616112369,-0.11414430420018423,-0.0763413088951474
22,R4,Lille Bane,'25-R4,Lille bane 1,-0.09427109671268495,-0.05372570451698803,-0.04652221856044923,-0.11349552870112789,-0.07504666472424201,-0.11513871460692326,-0.07340347881844664,-0.11349552870112789,-0.07504666472424201
23,R5,Lille Bane,'25-R5,Lille bane 1,-0.05372570451698803,-0.06259414158992069,-0.07199838124944971,-0.062042278804489065,-0.04540913022948699,-0.06559945926330994,-0.041851949770666114,-0.062042278804489065,-0.04540913022948699
24,R6,Lille Bane,'25-R6,Lille bane 1,-0.06259414158992069,-0.06639253151692552,-0.09368324122017288,-0.06955225012811847,-0.055636033051722905,-0.08251740713602981,-0.04267087604381156,-0.06955225012811847,-0.055636033051722905
25,R7,Lille Bane,'25-R7,Lille bane 1,-0.06639253151692552,-0.06710241261985353,-0.07116877710988627,-0.07384091847805964,-0.05894414455579141,-0.08574233571102935,-0.047042727322821686,-0.07384091847805964,-0.05894414455579141
