x_pos,race_local,group,race_display,series,x_prior,x_post,x_obs,x_proc_q25,x_proc_q75,x_total_q25,x_total_q75,x_q25,x_q75
1,R1,Lille Bane,'23-R1,Lille bane 1,-0.04881778595141592,-0.04590479923996156,-0.060926775475527606,-0.05717787652971588,-0.040457695373115964,-0.059331338976286896,-0.038304232926544945,-0.05717787652971588,-0.040457695373115964
2,R2,Lille Bane,'23-R2,Lille bane 1,-0.05315496637239745,-0.0394920899586559,-0.0024803500776400256,-0.06400264753508267,-0.04230728520971224,-0.07407685489756977,-0.032233077847225136,-0.06400264753508267,-0.04230728520971224
3,R3,Lille Bane,'23-R3,Lille bane 1,-0.0395888001311074,-0.042408421780605075,-0.05103809238597101,-0.05029755536869878,-0.028880044893516026,-0.06208831076755349,-0.01708928949466132,-0.05029755536869878,-0.028880044893516026
4,R4,Lille Bane,'23-R4,Lille bane 1,-0.042864200504869526,-0.04010571296903484,-0.026666078126666548,-0.053931842910126634,-0.03179655809961242,-0.06821104039256899,-0.017517360617170064,-0.053931842910126634,-0.03179655809961242
5,R5,Lille Bane,'23-R5,Lille bane 1,-0.03944806511626811,-0.03865910912243576,-0.03800349310086659,-0.04485480791337752,-0.0340413223191587,-0.04628745563925411,-0.03260867459328211,-0.04485480791337752,-0.0340413223191587
6,R6,Lille Bane,'23-R6,Lille bane 1,-0.03905204862762836,-0.051195293801607866,-0.12764021266137604,-0.05398768666904091,-0.024116410586215806,-0.0796977921574516,0.001593694902194888,-0.05398768666904091,-0.024116410586215806
7,R8,Lille Bane,'23-R8,Lille bane 1,-0.04609846153600841,-0.04672172501470776,-0.05048948756614102,-0.054704850104003215,-0.03749207296801361,-0.06932160354801684,-0.022875319523999987,-0.054704850104003215,-0.03749207296801361
8,R9,Lille Bane,'23-R9,Lille bane 1,-0.053138394840512464,-0.05922813722344126,-0.10825183160524077,-0.0674028606081479,-0.038873929072877025,-0.09618738418431105,-0.010089405496713874,-0.0674028606081479,-0.038873929072877025
9,R10,Lille Bane,'23-R10,Lille bane 1,-0.05274113950448269,-0.053304885146107706,-0.05729941418955242,-0.06250697200715757,-0.04297530700180781,-0.08144698672781935,-0.024035292281146033,-0.06250697200715757,-0.04297530700180781
10,R11,Lille Bane,'23-R11,Lille bane 1,-0.05099696771261925,-0.05047222067705171,-0.04858314011106302,-0.05920639876276982,-0.042787536662468685,-0.07475413419339488,-0.027239801231843618,-0.05920639876276982,-0.042787536662468685
11,R12,Lille Bane,'23-R12,Lille bane 1,-0.043632039463172276,-0.04197439391188426,-0.03801036229578081,-0.04880605290043898,-0.03845802602590557,-0.05325239423036618,-0.03401168469597837,-0.04880605290043898,-0.03845802602590557
12,R13,Lille Bane,'23-R13,Lille bane 1,-0.044873567030737756,-0.04185806876156491,-0.02379819347972223,-0.050752414055355084,-0.03899472000612043,-0.06070141527627422,-0.02904571878520129,-0.050752414055355084,-0.03899472000612043
13,R14,Lille Bane,'23-R14,Lille bane 1,-0.07289886295757107,-0.08344336988285911,-0.22011848760902453,-0.10206528718685393,-0.04373243872828822,-0.18236471864612763,0.0365669927309855,-0.10206528718685393,-0.04373243872828822
14,R15,Lille Bane,'23-R15,Lille bane 1,-0.05442868124549374,-0.058125787263910385,-0.10341848484686089,-0.06568729056910944,-0.04317007192187805,-0.09552749656607952,-0.013329865924907966,-0.06568729056910944,-0.04317007192187805
15,R16,Lille Bane,'23-R16,Lille bane 1,-0.044391044236548244,,,-0.04985414310003421,-0.03892794537306228,-0.058584285631526976,-0.03019780284156951,-0.04985414310003421,-0.03892794537306228
16,R17,Lille Bane,'23-R17,Lille bane 1,-0.05127750489947231,-0.053954604268235555,-0.08461902559838386,-0.05937445905648451,-0.04318055074246011,-0.07919146376578771,-0.023363546033156907,-0.05937445905648451,-0.04318055074246011
17,R1,Lille Bane,'24-R1,Lille bane 1,-0.04876257895947485,-0.05060121805728788,-0.046690197008281586,-0.05513206547916956,-0.042393092439780136,-0.06220470928338969,-0.035320448635560005,-0.05513206547916956,-0.042393092439780136
18,R2,Lille Bane,'24-R2,Lille bane 1,-0.05902314806664623,-0.058331314148361076,-0.051353484222355306,-0.06722143047858134,-0.050824865654711116,-0.0864620113446301,-0.03158428478866236,-0.06722143047858134,-0.050824865654711116
19,R3,Lille Bane,'24-R3,Lille bane 1,-0.055953586798219684,,,-0.0633014837457669,-0.04860568985067248,-0.07917130589421517,-0.03273586770222419,-0.0633014837457669,-0.04860568985067248
20,R4,Lille Bane,'24-R4,Lille bane 1,-0.05734116997024037,,,-0.06514211550650628,-0.04954022443397446,-0.08288791905185507,-0.03179442088862568,-0.06514211550650628,-0.04954022443397446
21,R5,Lille Bane,'24-R5,Lille bane 1,-0.05398518617250552,-0.05674998709501247,-0.07635192471816943,-0.06090123145472817,-0.04706914089028287,-0.07363673863853014,-0.034333633706480904,-0.06090123145472817,-0.04706914089028287
22,R6,Lille Bane,'24-R6,Lille bane 1,-0.06989036810411633,-0.06891171235843488,-0.055746036107636954,-0.0803289380753327,-0.05945179813289997,-0.11050855946465732,-0.029272176743575344,-0.0803289380753327,-0.05945179813289997
23,R7,Lille Bane,'24-R7,Lille bane 1,-0.05388073483707095,-0.046724969443645945,-0.008093676544648432,-0.06014587932577202,-0.047615590348369874,-0.06986796415681817,-0.03789350551732372,-0.06014587932577202,-0.047615590348369874
24,R8,Lille Bane,'24-R8,Lille bane 1,-0.049513814506186346,,,-0.05632409576059634,-0.04270353325177635,-0.07112175646105387,-0.027905872551318826,-0.05632409576059634,-0.04270353325177635
