x_pos,race_local,race_display,group,series,prior_pct,post_pct,obs_pct,proc_q25_pct,proc_q75_pct,total_q25_pct,total_q75_pct,q25_pct,q75_pct
1,R1,'23-R1,Lille Bane,Lille bane 1,0.0,-2.632072511029193,-4.24139636692511,-2.186992526583653,2.235891302266757,-2.816662809212467,2.8982980937183545,-2.186992526583653,2.235891302266757
2,R2,'23-R2,Lille Bane,Lille bane 1,-2.630786216765324,-0.0015934679206797142,0.39970493022538633,-4.003026804027899,-1.238929966980895,-4.106229064315759,-1.1326418780215897,-4.003026804027899,-1.238929966980895
3,R3,'23-R3,Lille Bane,Lille bane 1,0.000514779912585972,-0.46168318991242074,-5.021057972419873,-0.6394517273670242,0.6446032162431337,-2.197742014031401,2.2481807902860806,-0.6394517273670242,0.6446032162431337
4,R4,'23-R4,Lille Bane,Lille bane 1,-0.4726360902977622,-0.6054134901938735,-2.0763044975990796,-1.1636235524113858,0.22318222144794841,-3.503675804024542,2.653611413184098,-1.1636235524113858,0.22318222144794841
5,R5,'23-R5,Lille Bane,Lille bane 1,-0.5795832669922008,-1.0377127709616185,-2.776207815751641,-1.280947089752238,0.12676349672375853,-2.143546676669472,1.0093757506776102,-1.280947089752238,0.12676349672375853
6,R6,'23-R6,Lille Bane,Lille bane 1,-1.1061993251344049,-1.5835046631164196,-11.442707717284195,-1.9008088959087122,-0.3051533672415063,-4.897294282548181,2.836020680380824,-1.9008088959087122,-0.3051533672415063
7,R8,'23-R8,Lille Bane,Lille bane 1,-1.509894462855832,-1.8313231903795746,-4.561304613991812,-2.3552624851823967,-0.6572075914918263,-4.193209632751326,1.2485738383927858,-2.3552624851823967,-0.6572075914918263
8,R9,'23-R9,Lille Bane,Lille bane 1,-1.8993143276069269,-2.484365798203947,-9.883670421365853,-2.818596152687025,-0.9713366096865572,-5.382620049093512,1.7122280746632246,-2.818596152687025,-0.9713366096865572
9,R10,'23-R10,Lille Bane,Lille bane 1,-2.3909847904233783,-2.7438048249192493,-4.4865450165731735,-3.5275542768063994,-1.2410250537186807,-5.225441184345159,0.5282426976553456,-3.5275542768063994,-1.2410250537186807
10,R11,'23-R11,Lille Bane,Lille bane 1,-2.6764503082888913,-2.985066980462281,-4.180370265582878,-3.752488896672468,-1.5883817044751058,-5.0624975000771455,-0.23043502115869252,-3.752488896672468,-1.5883817044751058
11,R12,'23-R12,Lille Bane,Lille bane 1,-2.6384264219591613,-3.1332197342203494,-3.133235816309776,-3.5908378688745413,-1.6766062472406973,-3.590860177044719,-1.676583496130124,-3.5908378688745413,-1.6766062472406973
12,R13,'23-R13,Lille Bane,Lille bane 1,-3.3309687802480115,-3.2181246802404306,-1.9968424587492262,-3.6984372726987735,-2.9620980977484113,-4.607724288707027,-2.0371248375711803,-3.6984372726987735,-2.9620980977484113
13,R14,'23-R14,Lille Bane,Lille bane 1,-4.281019614628545,-4.915017288729251,-19.698828724309625,-6.172539329329984,-2.351367707011187,-13.630962003267733,6.08110751866624,-6.172539329329984,-2.351367707011187
14,R15,'23-R15,Lille Bane,Lille bane 1,-3.8258917180100105,-4.139245814222514,-9.6650077866827,-4.722841007797285,-2.920498452384679,-7.728244838655063,0.24149955381769228,-4.722841007797285,-2.920498452384679
15,R16,'23-R16,Lille Bane,Lille bane 1,-3.49228556229223,,,-4.100269423690072,-2.8804472127378578,-4.866195637191673,-2.0985336561262558,-4.100269423690072,-2.8804472127378578
16,R17,'23-R17,Lille Bane,Lille bane 1,-3.65234106342629,-4.189180797775793,-7.968609284408268,-4.348963626124968,-2.9506450272634765,-5.661581809746574,-1.60030705796389,-4.348963626124968,-2.9506450272634765
17,R1,'24-R1,Lille Bane,Lille bane 1,-3.8433545329204066,-4.302226333777681,-4.3969650944462035,-5.0492369777476735,-2.6221572825617434,-5.416606675707635,-2.2439337127597714,-5.0492369777476735,-2.6221572825617434
18,R2,'24-R2,Lille Bane,Lille bane 1,-4.729964995332381,-4.742389538946679,-4.733175266413914,-5.7423096085251535,-3.7067476182133463,-7.198086973507911,-2.1962018476971767,-5.7423096085251535,-3.7067476182133463
19,R3,'24-R3,Lille Bane,Lille bane 1,-5.0191141935991945,,,-6.160955083618336,-3.863379293690228,-8.269919661401993,-1.6531040279427756,-6.160955083618336,-3.863379293690228
20,R4,'24-R4,Lille Bane,Lille bane 1,-4.782664307410334,,,-5.799962134817472,-3.754380339306218,-7.028177456181172,-2.4829161316889725,-5.799962134817472,-3.754380339306218
21,R5,'24-R5,Lille Bane,Lille bane 1,-4.8355886751723425,-5.431230031430623,-7.4825050915776625,-5.908819923958553,-3.7501158399543155,-7.200725741411407,-2.4101723299540967,-5.908819923958553,-3.7501158399543155
22,R6,'24-R6,Lille Bane,Lille bane 1,-5.984798991856866,-5.897328551581538,-5.343914567983132,-7.245840227367395,-4.706613242272184,-9.61679713337642,-2.2068510490288906,-7.245840227367395,-4.706613242272184
23,R7,'24-R7,Lille Bane,Lille bane 1,-5.069420331387942,-3.7153725626484446,-0.9602221362546515,-6.042583400031665,-4.086177735311014,-6.759982950257459,-3.3482056163610885,-6.042583400031665,-4.086177735311014
24,R8,'24-R8,Lille Bane,Lille bane 1,-3.818963028895872,,,-4.764637406146455,-2.8638982319164064,-5.839169869755489,-1.755412945690038,-4.764637406146455,-2.8638982319164064
25,R9,'24-R9,Lille Bane,Lille bane 1,-4.645648814776038,-5.0666950562916035,-9.284754276145968,-6.203492051392678,-3.0619317412442615,-9.748811878696328,0.7460674948029933,-6.203492051392678,-3.0619317412442615
26,R10,'24-R10,Lille Bane,Lille bane 1,-5.23321709813186,,,-7.0936972314476705,-3.3354802209427548,-10.85884157793412,0.7474358707316053,-7.0936972314476705,-3.3354802209427548
27,R11,'24-R11,Lille Bane,Lille bane 1,-5.0773979148888255,,,-6.884870378537434,-3.2348403182427266,-10.317121127221874,0.468456185378896,-6.884870378537434,-3.2348403182427266
28,R12,'24-R12,Lille Bane,Lille bane 1,-4.307052774405018,-4.206336998473981,-3.7207750917105153,-5.715901792842349,-2.8771518968048526,-7.383153889905813,-1.128784521172732,-5.715901792842349,-2.8771518968048526
29,R13,'24-R13,Lille Bane,Lille bane 1,-4.5440087345151365,,,-6.091789555960148,-2.97071762531248,-8.624731113857997,-0.2810456313937393,-6.091789555960148,-2.97071762531248
30,R14,'24-R14,Lille Bane,Lille bane 1,-4.064161887798512,,,-5.382817315224586,-2.727128697613712,-6.6550372665511,-1.4013743776179588,-5.382817315224586,-2.727128697613712
31,R15,'24-R15,Lille Bane,Lille bane 1,-4.3682798553082325,,,-5.842486591524554,-2.870991737453499,-7.735011500357325,-0.8786968215135804,-5.842486591524554,-2.870991737453499
32,R16,'24-R16,Lille Bane,Lille bane 1,-5.367810614933733,-6.598608084980584,-15.97920885752716,-7.548733628683468,-3.1354396829607833,-11.82261134650695,1.5594973332916595,-7.548733628683468,-3.1354396829607833
