x_pos,race_local,group,race_display,series,x_prior,x_post,x_obs,x_proc_q25,x_proc_q75,x_total_q25,x_total_q75,x_q25,x_q75
1,R1,Stor Bane,'23-R1,Stor bane 2,0.0,,,-0.015884586679983454,0.015884586679983454,-0.022750269396665287,0.022750269396665287,-0.015884586679983454,0.015884586679983454
2,R2,Stor Bane,'23-R2,Stor bane 2,3.425705021394505e-16,-0.024577755461038256,-0.05908262836311451,-0.01581069125218098,0.015810691252181666,-0.02537151623327098,0.025371516233271666,-0.01581069125218098,0.015810691252181666
3,R3,Stor Bane,'23-R3,Stor bane 2,-0.02453581457034744,,,-0.0371063121553309,-0.011965316985363973,-0.04419778904790406,-0.0048738400927908244,-0.0371063121553309,-0.011965316985363973
4,R4,Stor Bane,'23-R4,Stor bane 2,-0.025571119435871693,0.0007798483610889531,0.07674101430986369,-0.038290586540042575,-0.012851652331700813,-0.050946063563073796,-0.00019617530866959318,-0.038290586540042575,-0.012851652331700813
5,R5,Stor Bane,'23-R5,Stor bane 2,-9.460015271089075e-05,,,-0.011058724561778751,0.010869524256356969,-0.011058932025732103,0.01086973172031032,-0.011058724561778751,0.010869524256356969
6,R6,Stor Bane,'23-R6,Stor bane 2,0.0020039548478888794,0.015238797073738788,0.19860698807296373,-0.010971241537951733,0.014979151233729492,-0.048348713260208745,0.052356622955986504,-0.010971241537951733,0.014979151233729492
7,R8,Stor Bane,'23-R8,Stor bane 2,0.010170807659509588,,,-0.0007088130303375614,0.021050428349356737,-0.003709029336322528,0.024050644655341704,-0.0007088130303375614,0.021050428349356737
8,R9,Stor Bane,'23-R9,Stor bane 2,0.01332091889634373,0.038011961865294534,0.13718770957171955,0.0014972320874313428,0.025144605705256118,-0.013536125643139493,0.040177963435826955,0.0014972320874313428,0.025144605705256118
9,R10,Stor Bane,'23-R10,Stor bane 2,0.031462715534743044,,,0.020475552732123807,0.04244987833736228,0.0204719840952614,0.042453446974224686,0.020475552732123807,0.04244987833736228
10,R11,Stor Bane,'23-R11,Stor bane 2,0.043124916518904,0.06114762598791379,0.19266913512197803,0.028105175784153946,0.05814465725365406,-0.00019788112174572853,0.08644771415955374,0.028105175784153946,0.05814465725365406
