x_pos,race_local,group,race_display,series,x_prior,x_post,x_obs,x_proc_q25,x_proc_q75,x_total_q25,x_total_q75,x_q25,x_q75
1,R1,Stor Bane,'23-R1,Stor bane 1,0.009935550949119147,0.02503648881815483,0.02650103364025469,-0.0021018984261560146,0.02197300032439431,-0.0021020873917907325,0.021973189290029026,-0.0021018984261560146,0.02197300032439431
2,R2,Stor Bane,'23-R2,Stor bane 1,0.02757039477305549,0.026714633891286314,0.02140193157402237,0.019207202499269146,0.03593358704684183,0.00529373545928425,0.04984705408682673,0.019207202499269146,0.03593358704684183
3,R3,Stor Bane,'23-R3,Stor bane 1,0.026109961233514487,0.025428285207043547,0.021391459262307677,0.02061696214933183,0.031602960317697146,0.011704483018144154,0.04051543944888482,0.02061696214933183,0.031602960317697146
4,R4,Stor Bane,'23-R4,Stor bane 1,0.02566568245312182,0.023035145495276462,0.004296218028606802,0.01848172561184455,0.03284963929439909,0.005266380313937495,0.046064984592306145,0.01848172561184455,0.03284963929439909
5,R5,Stor Bane,'23-R5,Stor bane 1,0.023674222900387985,0.01953567073563306,-0.0012861285412029133,0.018905625663891486,0.028442820136884484,0.011853261631321037,0.035495184169454935,0.018905625663891486,0.028442820136884484
6,R6,Stor Bane,'23-R6,Stor bane 1,0.010245142860783136,0.006865320405384507,-0.025546850971101875,-0.0037871516747500188,0.02427743739631629,-0.03538352031247756,0.055873806034043835,-0.0037871516747500188,0.02427743739631629
7,R8,Stor Bane,'23-R8,Stor bane 1,0.020896956523931375,0.027732363866233102,0.03412913332335954,0.016568702099468827,0.025225210948393924,0.014843630724888958,0.026950282322973793,0.016568702099468827,0.025225210948393924
8,R9,Stor Bane,'23-R9,Stor bane 1,0.02355930803380448,0.02203857004970843,0.0078073224672134955,0.016031977165992552,0.03108663890161641,-0.0005915592497471624,0.04771017531735612,0.016031977165992552,0.03108663890161641
9,R10,Stor Bane,'23-R10,Stor bane 1,0.02834581716589732,,,0.02314103273794663,0.033550601593848005,0.0231405957195351,0.03355103861225954,0.02314103273794663,0.033550601593848005
10,R11,Stor Bane,'23-R11,Stor bane 1,0.017733789201281845,,,0.005857461192894781,0.02961011720966891,-0.021791083246030213,0.0572586616485939,0.005857461192894781,0.02961011720966891
11,R12,Stor Bane,'23-R12,Stor bane 1,0.021485846041039924,0.016030731184346683,-0.021715682516525447,0.012802272112580757,0.03016941996949909,-0.0036422947633683797,0.04661398684544823,0.012802272112580757,0.03016941996949909
12,R13,Stor Bane,'23-R13,Stor bane 1,0.022361038417643447,0.026906819048606284,0.03418977376070309,0.016284278482170008,0.028437798353116887,0.012483036669419334,0.03223904016586756,0.016284278482170008,0.028437798353116887
13,R14,Stor Bane,'23-R14,Stor bane 1,-0.0008658883454710185,0.0035551481941935616,0.06319874111250989,-0.025541850874611305,0.023810074183669268,-0.09551664272913331,0.09378486603819126,-0.025541850874611305,0.023810074183669268
14,R15,Stor Bane,'23-R15,Stor bane 1,0.02208097473591527,0.021453395330747624,0.017490961618255696,0.013540398037474914,0.030621551434355625,-0.00583433497670454,0.04999628444853508,0.013540398037474914,0.030621551434355625
15,R16,Stor Bane,'23-R16,Stor bane 1,0.023157290828548706,,,0.015737726830003403,0.03057685482709401,0.0010601026062703883,0.04525447905082702,0.015737726830003403,0.03057685482709401
16,R17,Stor Bane,'23-R17,Stor bane 1,0.02512232519683331,0.021491436509218687,0.005212094459650984,0.018796355909026893,0.031448294484639726,0.01056337938416845,0.03968127100949817,0.018796355909026893,0.031448294484639726
17,R1,Stor Bane,'24-R1,Stor bane 2,0.015605152133334322,0.014172024206458184,-0.008104282384877592,0.0036160113884145407,0.0275942928782541,-0.02406860683252933,0.05527891109919797,0.0036160113884145407,0.0275942928782541
18,R2,Stor Bane,'24-R2,Stor bane 2,0.02413556393923957,0.017106851326441287,0.004126635121394884,0.015763452464919336,0.032507675413559804,0.00847322808539546,0.03979789979308368,0.015763452464919336,0.032507675413559804
19,R3,Stor Bane,'24-R3,Stor bane 2,0.015095276064973222,0.02439194199422156,0.068872646783527,0.007087139952406417,0.023103412177540028,-0.004247008530926327,0.03443756066087277,0.007087139952406417,0.023103412177540028
20,R4,Stor Bane,'24-R4,Stor bane 2,0.02614459871997346,,,0.01895376486503188,0.03333543257491504,0.011963771002857853,0.04032542643708907,0.01895376486503188,0.03333543257491504
21,R5,Stor Bane,'24-R5,Stor bane 2,0.024643605842227394,,,0.016966030743260925,0.032321180941193864,0.0071653736697310545,0.04212183801472373,0.016966030743260925,0.032321180941193864
22,R6,Stor Bane,'24-R6,Stor bane 2,0.02713128090027189,0.023892967914440854,0.02092990712485232,0.019935818477102213,0.034326743323441565,0.016794226050191197,0.03746833575035258,0.019935818477102213,0.034326743323441565
23,R7,Stor Bane,'24-R7,Stor bane 2,0.02070903609415651,0.01783207103922341,0.0019336657452235784,0.01417957794168792,0.027238494246625097,0.0028732703716218867,0.038544801816691135,0.01417957794168792,0.027238494246625097
24,R8,Stor Bane,'24-R8,Stor bane 2,0.022285993580209048,,,0.0167855457546212,0.027786441405796895,0.014635409788379574,0.029936577372038524,0.0167855457546212,0.027786441405796895
25,R9,Stor Bane,'24-R9,Stor bane 2,0.00684967152106589,0.007823762651116738,0.022733042470425957,-0.00435923361291184,0.01805857665504362,-0.039192697653477826,0.05289204069560961,-0.00435923361291184,0.01805857665504362
26,R10,Stor Bane,'24-R10,Stor bane 2,0.01564412983062552,0.011785761408957462,-0.017817375588498052,0.007121866649371547,0.024166393011879492,-0.009854406417989615,0.04114266607924065,0.007121866649371547,0.024166393011879492
27,R11,Stor Bane,'24-R11,Stor bane 2,-0.003638794786838085,-0.006996365839546423,-0.06528105690416197,-0.01776301784070371,0.01048542826702754,-0.0647792636127815,0.05750167403910532,-0.01776301784070371,0.01048542826702754
28,R12,Stor Bane,'24-R12,Stor bane 2,0.008525234458502545,0.009584764602963874,0.01898497334232019,-0.00031554101376037036,0.01736600993076546,-0.019878917587635138,0.03692938650464023,-0.00031554101376037036,0.01736600993076546
29,R13,Stor Bane,'24-R13,Stor bane 2,0.018261068787340677,0.019280009906200452,0.02013093677651767,0.011168741094893492,0.025353396479787862,0.007365075039926373,0.02915706253475498,0.011168741094893492,0.025353396479787862
30,R14,Stor Bane,'24-R14,Stor bane 2,0.0042383774137731665,0.00361413354999093,-0.006535713271789589,-0.005610773500812136,0.014087528328358469,-0.03798877663267833,0.046465531460224654,-0.005610773500812136,0.014087528328358469
31,R15,Stor Bane,'24-R15,Stor bane 2,0.0031300617221185142,,,-0.006864216228792571,0.0131243396730296,-0.04013510848298367,0.0463952319272207,-0.006864216228792571,0.0131243396730296
32,R16,Stor Bane,'24-R16,Stor bane 2,-0.007318320896326787,,,-0.02118352384322786,0.006546882050574283,-0.07322258946895308,0.058585947676299495,-0.02118352384322786,0.006546882050574283
33,R17,Stor Bane,'24-R17,Stor bane 2,0.009757072090532311,0.00807689541216551,-0.01206690631520324,0.0015160993997631617,0.01799804478130146,-0.019446914986079693,0.03896105916714432,0.0015160993997631617,0.01799804478130146
34,R18,Stor Bane,'24-R18,Stor bane 2,0.01583767723781839,0.015167516503796158,0.01311999432590838,0.009260595538180882,0.0224147589374559,0.0018294641107261377,0.029845890364910643,0.009260595538180882,0.0224147589374559
35,R1,Stor Bane,'25-R1,Stor bane 1,0.00840000800174842,0.006167225894296682,-0.00041890606090966287,-0.0003898459179746995,0.01718986192147154,-0.01207428850747195,0.02887430451096879,-0.0003898459179746995,0.01718986192147154
36,R2,Stor Bane,'25-R2,Stor bane 1,-0.012915552690596292,-0.014170783583630879,-0.03799888608550539,-0.02569474081902242,-0.00013636456217016278,-0.06987309609248712,0.04404199071129455,-0.02569474081902242,-0.00013636456217016278
37,R3,Stor Bane,'25-R3,Stor bane 1,0.0034334840637228366,,,-0.005265214235215159,0.012132182362660832,-0.020532763669151435,0.027399731796597108,-0.005265214235215159,0.012132182362660832
38,R4,Stor Bane,'25-R4,Stor bane 1,0.012788318332951186,,,0.004893535225766469,0.020683101440135902,0.0036116395481385153,0.021964997117763854,0.004893535225766469,0.020683101440135902
