x_pos,race_local,group,race_display,series,x_prior,x_post,x_obs,x_proc_q25,x_proc_q75,x_total_q25,x_total_q75,x_q25,x_q75
1,R1,Stor Bane,'23-R1,Stor bane 2,0.0,0.032610312529804245,0.06460823644213143,-0.015884586679983454,0.015884586679983454,-0.022750269396665287,0.022750269396665287,-0.015884586679983454,0.015884586679983454
2,R2,Stor Bane,'23-R2,Stor bane 2,0.032614461700183055,0.04429351752928153,0.07772915242906464,0.021074265929779075,0.044154657470587035,0.009659897959554114,0.05556902544081199,0.021074265929779075,0.044154657470587035
3,R3,Stor Bane,'23-R3,Stor bane 2,0.04424736581957869,,,0.034003889970506046,0.05449084166865134,0.025985256732933004,0.06250947490622438,0.034003889970506046,0.05449084166865134
4,R4,Stor Bane,'23-R4,Stor bane 2,0.04370577219086731,0.037709405782198516,0.016709851179106394,0.03319197122140354,0.05421957316033108,0.019361512972931757,0.06805003140880286,0.03319197122140354,0.05421957316033108
5,R5,Stor Bane,'23-R5,Stor bane 2,0.037790947193610605,,,0.02837846768259258,0.047203426704628626,0.028378226019074235,0.047203668368146975,0.02837846768259258,0.047203426704628626
6,R6,Stor Bane,'23-R6,Stor bane 2,0.037731325218813144,,,0.025842180986021517,0.04962046945160477,-0.012352476702978121,0.08781512714060441,0.025842180986021517,0.04962046945160477
7,R8,Stor Bane,'23-R8,Stor bane 2,0.03691330251988907,,,0.027090255258506248,0.04673634978127189,0.023845173878982585,0.04998143116079556,0.027090255258506248,0.04673634978127189
8,R9,Stor Bane,'23-R9,Stor bane 2,0.037770773593704954,0.029496842823886066,0.0010475079865628345,0.026887485635896713,0.048654061551513195,0.011314257791107087,0.06422728939630282,0.026887485635896713,0.048654061551513195
9,R10,Stor Bane,'23-R10,Stor bane 2,0.03061242829628612,,,0.020357201686429606,0.040867654906142636,0.02035337844052172,0.04087147815205052,0.020357201686429606,0.040867654906142636
10,R11,Stor Bane,'23-R11,Stor bane 2,0.029171202690140705,0.029592249179287284,0.04354743714095122,0.01456866897691315,0.04377373640336826,-0.014008725222253066,0.07235113060253448,0.01456866897691315,0.04377373640336826
11,R12,Stor Bane,'23-R12,Stor bane 2,0.030038052832279248,0.04520515245372171,0.10069255839058577,0.018506906594042728,0.04156919907051577,0.005230339326240282,0.05484576633831821,0.018506906594042728,0.04156919907051577
12,R13,Stor Bane,'23-R13,Stor bane 2,0.043315222950697556,,,0.03379168959578164,0.05283875630561347,0.030153996965188175,0.05647644893620694,0.03379168959578164,0.05283875630561347
13,R14,Stor Bane,'23-R14,Stor bane 2,0.05483112022159368,0.07028269212625407,0.2568866468127453,0.028432993075875795,0.08122924736731156,-0.04028986356206791,0.14995210400525527,0.028432993075875795,0.08122924736731156
14,R15,Stor Bane,'23-R15,Stor bane 2,0.05101890735622204,0.06335129425815288,0.12403359213273646,0.03918144556623411,0.06285636914620997,0.0222584201842664,0.07977939452817767,0.03918144556623411,0.06285636914620997
15,R16,Stor Bane,'23-R16,Stor bane 2,0.059327936654351855,,,0.04901933419368712,0.06963653911501659,0.03899073952629453,0.07966513378240918,0.04901933419368712,0.06963653911501659
16,R17,Stor Bane,'23-R17,Stor bane 2,0.056769928333955263,0.06249623685216431,0.07238858321228392,0.04683054586959485,0.06670931079831567,0.03930942516874704,0.07423043149916349,0.04683054586959485,0.06670931079831567
17,R1,Stor Bane,'25-R1,Stor bane 2,0.06018343326710879,,,0.04270041612906532,0.07766645040515226,0.03481220298333266,0.08555466355088492,0.04270041612906532,0.07766645040515226
18,R2,Stor Bane,'25-R2,Stor bane 2,0.07604046078086117,,,0.04474847602718073,0.1073324455345416,0.015650117775364396,0.13643080378635794,0.04474847602718073,0.1073324455345416
19,R3,Stor Bane,'25-R3,Stor bane 2,0.061014806131759386,,,0.041944830295216805,0.08008478196830196,0.03143830476198781,0.09059130750153097,0.041944830295216805,0.08008478196830196
20,R4,Stor Bane,'25-R4,Stor bane 2,0.051701391159598195,,,0.036697582412299944,0.06670519990689645,0.03574060481312254,0.06766217750607385,0.036697582412299944,0.06670519990689645
21,R5,Stor Bane,'25-R5,Stor bane 2,0.05747744123055343,,,0.04030316546494954,0.07465171699615732,0.033677160197505496,0.08127772226360136,0.04030316546494954,0.07465171699615732
22,R6,Stor Bane,'25-R6,Stor bane 2,0.066120390668262,,,0.04362494319834857,0.08861583813817543,0.027955219095656722,0.10428556224086728,0.04362494319834857,0.08861583813817543
23,R7,Stor Bane,'25-R7,Stor bane 2,0.054252016259919794,,,0.03843466358455638,0.0700693689352832,0.0354513560061325,0.07305267651370709,0.03843466358455638,0.0700693689352832
24,R8,Stor Bane,'25-R8,Stor bane 2,0.05007478857368183,,,0.03473287640053807,0.0654167007468256,0.03316435754217721,0.06698521960518646,0.03473287640053807,0.0654167007468256
25,R9,Stor Bane,'25-R9,Stor bane 2,0.050390128079378003,,,0.03459565359555343,0.06618460256320258,0.032016982821095,0.06876327333766101,0.03459565359555343,0.06618460256320258
26,R10,Stor Bane,'25-R10,Stor bane 2,0.05839292089897223,,,0.03707727425611036,0.0797085675418341,0.02570659247478016,0.0910792493231643,0.03707727425611036,0.0797085675418341
27,R11,Stor Bane,'25-R11,Stor bane 2,0.08230413361637495,,,0.037014941724058885,0.127593325508691,-0.0025103047480028035,0.1671185719807527,0.037014941724058885,0.127593325508691
28,R12,Stor Bane,'25-R12,Stor bane 2,0.05811097320899976,,,0.03649426204262461,0.0797276843753749,0.025218801139215243,0.09100314527878428,0.03649426204262461,0.0797276843753749
