x_pos,race_local,race_display,group,series,prior_pct,post_pct,obs_pct,proc_q25_pct,proc_q75_pct,total_q25_pct,total_q75_pct,q25_pct,q75_pct
1,R1,'23-R1,Stor Bane,Stor bane 2,0.0,3.31478560117493,6.67410322503772,-1.575909198873282,1.6011417388223759,-2.2493433400826657,2.301103048246844,-1.575909198873282,1.6011417388223759
2,R2,'23-R2,Stor Bane,Stor bane 2,3.3152142727123746,4.528912054573997,8.082987887523707,2.12978964590127,4.514398171433487,0.9706705370715385,5.714198424556161,2.12978964590127,4.514398171433487
3,R3,'23-R3,Stor Bane,Stor bane 2,4.524087977889857,,,3.458863123955158,5.600280514584388,2.6325816966281224,6.4504544950816145,3.458863123955158,5.600280514584388
4,R4,'23-R4,Stor Bane,Stor bane 2,4.4674937247209945,3.8429427441954545,1.6850241620020023,3.3748970246617827,5.571638369042686,1.9550162612438582,7.041886170275169,3.3748970246617827,5.571638369042686
5,R5,'23-R5,Stor Bane,Stor bane 2,3.851410589547344,,,2.878497261474977,4.833524677439693,2.8784723994983663,4.833550011881171,2.878497261474977,4.833524677439693
6,R6,'23-R6,Stor Bane,Stor bane 2,3.845218947943274,,,2.6178985137731425,5.087218258507775,-1.2276498026006943,9.178626172147307,2.6178985137731425,5.087218258507775
7,R8,'23-R8,Stor Bane,Stor bane 2,3.760305936789443,,,2.7460532294709683,4.784570790774079,2.4131743269970363,5.1251575673314065,2.7460532294709683,4.784570790774079
8,R9,'23-R9,Stor Bane,Stor bane 2,3.8493155538727564,2.9936183776840375,0.10480568146709057,2.7252215631189625,4.98571019758034,1.1378506084407158,6.633473779872623,2.7252215631189625,4.98571019758034
9,R10,'23-R10,Stor Bane,Stor bane 2,3.1085806753077927,,,2.0565822758958907,4.171423065451951,2.0561920892312235,4.171821339180259,2.0565822758958907,4.171423065451951
10,R11,'23-R11,Stor Bane,Stor bane 2,2.9600849822266184,3.003445092201096,4.450954168317778,1.4675309274525983,4.4745940169441,-1.3911059619839516,7.50327546986258,1.4675309274525983,4.4745940169441
11,R12,'23-R12,Stor Bane,Stor bane 2,3.0493746413136513,4.624247710470786,10.593657856968886,1.8679220749116654,4.244529560116961,0.5244041429441237,5.637767311363717,1.8679220749116654,4.244529560116961
12,R13,'23-R13,Stor Bane,Stor bane 2,4.426701990533255,,,3.436911443591484,5.425963869450645,3.0613233043785604,5.810169508626384,3.436911443591484,5.425963869450645
13,R14,'23-R14,Stor Bane,Stor bane 2,5.636220139623216,7.281141373109756,29.289856427979032,2.8841069049311496,8.461951423637192,-3.948901833761709,16.1778596854117,2.8841069049311496,8.461951423637192
14,R15,'23-R15,Stor Bane,Stor bane 2,5.234279011510545,6.54010427686349,13.20538984652817,3.9959162511270963,6.487387950220858,2.250798703375345,8.304811497838038,3.9959162511270963,6.487387950220858
15,R16,'23-R16,Stor Bane,Stor bane 2,6.112316486904601,,,5.024065609999684,7.211843731413503,3.9760854927517686,8.292437216266757,5.024065609999684,7.211843731413503
16,R17,'23-R17,Stor Bane,Stor bane 2,5.841227170618479,6.44904530753776,7.507301823483803,4.79444155234543,6.898469069915492,4.009226458851267,7.705496429342351,4.79444155234543,6.898469069915492
17,R1,'25-R1,Stor Bane,Stor bane 2,6.203134055753279,,,4.3625194737351825,8.076211077894735,3.542524076873832,8.932110587629417,4.3625194737351825,8.076211077894735
18,R2,'25-R2,Stor Bane,Stor bane 2,7.900623070873736,,,4.576479191105398,11.330430601004693,1.5773222229878536,14.617556402249377,4.576479191105398,11.330430601004693
19,R3,'25-R3,Stor Bane,Stor bane 2,6.291465172507138,,,4.28369441573484,8.337891477822623,3.1937707989163844,9.48214684908999,4.28369441573484,8.337891477822623
20,R4,'25-R4,Stor Bane,Stor bane 2,5.306124216301478,,,3.73792516650715,6.898029622819535,3.6386977827021827,7.000377607118002,3.73792516650715,6.898029622819535
21,R5,'25-R5,Stor Bane,Stor bane 2,5.91613770079169,,,4.112635990959901,7.750880752141809,3.4250655547285014,8.467209232918682,4.112635990959901,7.750880752141809
22,R6,'25-R6,Stor Bane,Stor bane 2,6.835532943603151,,,4.459050063703174,9.266081707454909,2.8349632963774685,10.991736015388698,4.459050063703174,9.266081707454909
