x_pos,race_local,group,race_display,series,x_prior,x_post,x_obs,x_proc_q25,x_proc_q75,x_total_q25,x_total_q75,x_q25,x_q75
1,R1,Stor Bane,'24-R1,Stor bane 1,-5.810551496825981e-05,,,-0.014104161223192867,0.013987950193256347,-0.03385489844631212,0.033738687416375604,-0.014104161223192867,0.013987950193256347
2,R2,Stor Bane,'24-R2,Stor bane 1,-0.0009241284242300412,,,-0.015161672903137765,0.013313416054677682,-0.015298310698544407,0.013450053850084324,-0.015161672903137765,0.013313416054677682
3,R3,Stor Bane,'24-R3,Stor bane 1,0.012602890710095172,,,-0.0002278189359877069,0.025433600356178053,-0.013561543554197211,0.038767324974387556,-0.0002278189359877069,0.025433600356178053
4,R4,Stor Bane,'24-R4,Stor bane 1,0.012486475338572263,-0.004903499131256262,-0.018825177729083334,-0.0005466931315591811,0.025519643808703706,-0.005037040707498783,0.03000999138464331,-0.0005466931315591811,0.025519643808703706
5,R5,Stor Bane,'24-R5,Stor bane 1,-0.004903391508314042,-0.007225487579050418,-0.011875242197342656,-0.013924319796286205,0.004117536779658121,-0.02054723302718392,0.010740450010555838,-0.013924319796286205,0.004117536779658121
6,R6,Stor Bane,'24-R6,Stor bane 1,-0.007225328992659063,,,-0.014954305398406784,0.0005036474130886582,-0.02185532697754457,0.007404668992226444,-0.014954305398406784,0.0005036474130886582
7,R7,Stor Bane,'24-R7,Stor bane 1,-0.007151310237093225,-0.0021819466023587667,0.008257080380227353,-0.015211310812558599,0.0009086903383721491,-0.021157655971184613,0.006855035496998163,-0.015211310812558599,0.0009086903383721491
8,R8,Stor Bane,'24-R8,Stor bane 1,-0.0021818987125749962,,,-0.009170140321769039,0.004806342896619046,-0.01531770278231196,0.01095390535716197,-0.009170140321769039,0.004806342896619046
9,R9,Stor Bane,'24-R9,Stor bane 1,-0.0021266646111917915,,,-0.009477260852772743,0.00522393163038916,-0.04333603155325407,0.03908270233087049,-0.009477260852772743,0.00522393163038916
10,R10,Stor Bane,'24-R10,Stor bane 1,-0.002107218657136095,,,-0.01143848715439834,0.007224049840126151,-0.022235418906258603,0.018020981591986417,-0.01143848715439834,0.007224049840126151
11,R11,Stor Bane,'24-R11,Stor bane 1,-0.002122956751135028,,,-0.011643060458521872,0.007397146956251816,-0.058638537551838094,0.05439262404956803,-0.011643060458521872,0.007397146956251816
12,R12,Stor Bane,'24-R12,Stor bane 1,-0.002113543314030069,,,-0.011904807805077609,0.007677721177017471,-0.02664697500650216,0.022419888378442023,-0.011904807805077609,0.007677721177017471
13,R13,Stor Bane,'24-R13,Stor bane 1,-0.002176883322470368,,,-0.012224747339775417,0.007870980694834682,-0.021165707847993227,0.016811941203052492,-0.012224747339775417,0.007870980694834682
14,R14,Stor Bane,'24-R14,Stor bane 1,-0.0020407511947340908,,,-0.012328208384330545,0.008246705994862364,-0.03987648709733254,0.03579498470786436,-0.012328208384330545,0.008246705994862364
15,R15,Stor Bane,'24-R15,Stor bane 1,-0.002003008235541866,,,-0.012537912229588093,0.008531895758504361,-0.03575427497533914,0.03174825850425541,-0.012537912229588093,0.008531895758504361
16,R16,Stor Bane,'24-R16,Stor bane 1,-0.0019493157452872775,,,-0.01272496449084517,0.008826333000270614,-0.0650648363518385,0.061166204861263944,-0.01272496449084517,0.008826333000270614
17,R17,Stor Bane,'24-R17,Stor bane 1,-0.0019308534350194941,,,-0.012946195557800872,0.009084488687761884,-0.02796624899423828,0.02410454212419929,-0.012946195557800872,0.009084488687761884
18,R18,Stor Bane,'24-R18,Stor bane 1,-0.0018313499021514808,,,-0.012927941403206345,0.009265241598903382,-0.019036932317685485,0.015374232513382522,-0.012927941403206345,0.009265241598903382
