x_pos,race_local,group,race_display,series,x_prior,x_post,x_obs,x_proc_q25,x_proc_q75,x_total_q25,x_total_q75,x_q25,x_q75
1,R1,Lille Bane,'24-R1,Lille bane 3,0.0,-0.062098281844186025,-0.07430260684411216,-0.02205935536013792,0.02205935536013792,-0.024484445715485387,0.024484445715485387,-0.02205935536013792,0.02205935536013792
2,R2,Lille Bane,'24-R2,Lille bane 3,-0.06211653250453757,-0.06197430045162513,-0.06085369819291486,-0.0721860570434679,-0.052047007965607246,-0.08812099975059477,-0.03611206525848036,-0.0721860570434679,-0.052047007965607246
3,R3,Lille Bane,'24-R3,Lille bane 3,-0.061984752956220086,-0.06450813853549464,-0.07878426251063253,-0.07195984250908158,-0.0520096634033586,-0.09613185416156451,-0.027837651750875658,-0.07195984250908158,-0.0520096634033586
4,R4,Lille Bane,'24-R4,Lille bane 3,-0.06446677174142425,-0.0584278343472049,-0.03055950810938768,-0.07437707096246124,-0.05455647252038726,-0.08796997191723872,-0.04096357156560977,-0.07437707096246124,-0.05455647252038726
5,R5,Lille Bane,'24-R5,Lille bane 3,-0.05842024451618623,-0.04960841177564745,-0.0005212241193763845,-0.06802041890765716,-0.0488200701247153,-0.0828521419071161,-0.033988347125256356,-0.06802041890765716,-0.0488200701247153
6,R6,Lille Bane,'24-R6,Lille bane 3,-0.04919510252998236,-0.04787107021003937,-0.032105338581414955,-0.059180187712214255,-0.03921001734775047,-0.08752983048251492,-0.010860374577449802,-0.059180187712214255,-0.03921001734775047
7,R7,Lille Bane,'24-R7,Lille bane 3,-0.04861929350217596,-0.05028393721832162,-0.05395447167075673,-0.058115069751634545,-0.03912351725271738,-0.06613710538777369,-0.031101481616578233,-0.058115069751634545,-0.03912351725271738
8,R8,Lille Bane,'24-R8,Lille bane 3,-0.05016189880150156,-0.04480885049541278,-0.0217588671980522,-0.058923486915289744,-0.04140031068771338,-0.07089252416639846,-0.029431273436604666,-0.058923486915289744,-0.04140031068771338
9,R9,Lille Bane,'24-R9,Lille bane 3,-0.04312376515369826,-0.04739021929921454,-0.14632061106799377,-0.054008533287199664,-0.03223899702019685,-0.09671940474706707,0.010471874439670556,-0.054008533287199664,-0.03223899702019685
10,R10,Lille Bane,'24-R10,Lille bane 3,-0.04730652386690973,-0.037248959230432525,0.10843999466630905,-0.0622805921825931,-0.03233245555122635,-0.10710839806074442,0.012495350326924962,-0.0622805921825931,-0.03233245555122635
11,R11,Lille Bane,'24-R11,Lille bane 3,-0.03767139394585801,-0.02895733361147263,0.08162097103429922,-0.052405422925682725,-0.02293736496603329,-0.09309409864246457,0.017751310750748553,-0.052405422925682725,-0.02293736496603329
12,R12,Lille Bane,'24-R12,Lille bane 3,-0.03290357484640525,-0.040913793077551615,-0.08203467595743419,-0.0454000783356673,-0.020407071357143196,-0.06458533130303548,-0.0012218183897750173,-0.0454000783356673,-0.020407071357143196
13,R13,Lille Bane,'24-R13,Lille bane 3,-0.039610509927079846,-0.04038304174164738,-0.04616658778968308,-0.052935991840929,-0.02628502801323069,-0.08226240071709501,0.0030413808629353237,-0.052935991840929,-0.02628502801323069
14,R14,Lille Bane,'24-R14,Lille bane 3,-0.04222937899115652,-0.044104875277362045,-0.05006989222880165,-0.054095087290522585,-0.03036367069179046,-0.06866371088341984,-0.01579504709889321,-0.054095087290522585,-0.03036367069179046
15,R15,Lille Bane,'24-R15,Lille bane 3,-0.04323598805403613,-0.04289336623129577,-0.04089503234704939,-0.05537454986998584,-0.03109742623808642,-0.07773939658665913,-0.008732579521413139,-0.05537454986998584,-0.03109742623808642
16,R16,Lille Bane,'24-R16,Lille bane 3,-0.03937103309611359,-0.0412012048768572,-0.07036237061358896,-0.05605457181208978,-0.0226874943801374,-0.10811489720303351,0.02937283101080633,-0.05605457181208978,-0.0226874943801374
17,R17,Lille Bane,'24-R17,Lille bane 3,-0.04336861671335597,-0.04770643802476475,-0.08805152274608652,-0.05681107920090358,-0.02992615422580836,-0.08686808141514453,0.00013084798843258916,-0.05681107920090358,-0.02992615422580836
18,R18,Lille Bane,'24-R18,Lille bane 3,-0.049261231604751876,-0.05358331032628838,-0.05634942348996397,-0.05989215754206829,-0.038630305667435465,-0.06285349205140542,-0.03566897115809834,-0.05989215754206829,-0.038630305667435465
19,R1,Lille Bane,'25-R1,Lille bane 2,-0.052678050903045476,-0.05366139498227762,-0.053205034352702185,-0.06818035708968487,-0.037175744716406084,-0.09067513022718485,-0.014680971578906112,-0.06818035708968487,-0.037175744716406084
20,R2,Lille Bane,'25-R2,Lille bane 2,-0.052754425640679996,-0.050155585420629055,-0.024852651882087073,-0.07245248789597866,-0.033056363385381336,-0.11609851832003074,0.010589667038670737,-0.07245248789597866,-0.033056363385381336
21,R3,Lille Bane,'25-R3,Lille bane 2,-0.05169351300154401,-0.057017139440115085,-0.08263463435916663,-0.06704591552041088,-0.036341110482677144,-0.09069199650401571,-0.012695029499072315,-0.06704591552041088,-0.036341110482677144
22,R4,Lille Bane,'25-R4,Lille bane 2,-0.0574709967035733,-0.0454564544975097,-0.03814564181943503,-0.06984278529779414,-0.045099208109352466,-0.07345342866157543,-0.041488564745571166,-0.06984278529779414,-0.045099208109352466
23,R5,Lille Bane,'25-R5,Lille bane 2,-0.04580875696711222,-0.053207206643222815,-0.0553335588949917,-0.05430473469437885,-0.03731277923984559,-0.05542928177543049,-0.03618823215879396,-0.05430473469437885,-0.03731277923984559
24,R6,Lille Bane,'25-R6,Lille bane 2,-0.052790224134824405,-0.05407653828356013,-0.06253062693801148,-0.05945941616164183,-0.04612103210800698,-0.07122184073640353,-0.03435860753324528,-0.05945941616164183,-0.04612103210800698
25,R7,Lille Bane,'25-R7,Lille bane 2,-0.05407466687701762,-0.05517936954873551,-0.06222910221761424,-0.061511958595964644,-0.04663737515807059,-0.07454676960753148,-0.033602564146503755,-0.061511958595964644,-0.04663737515807059
