x_pos,race_local,group,race_display,series,x_prior,x_post,x_obs,x_proc_q25,x_proc_q75,x_total_q25,x_total_q75,x_q25,x_q75
1,R1,Lille Bane,'23-R1,Lille bane 1,0.0,-0.009169976546382658,-0.01060280461841856,-0.025449306113718782,0.025449306113718782,-0.027497182817307644,0.027497182817307644,-0.025449306113718782,0.025449306113718782
2,R2,Lille Bane,'23-R2,Lille bane 1,-0.009169976546382658,-0.011615978346652726,-0.018064673494438993,-0.019421234380761987,0.0010812812879966733,-0.02885260194974491,0.010512648856979594,-0.019421234380761987,0.0010812812879966733
3,R3,Lille Bane,'23-R3,Lille bane 1,-0.011615978346652726,,,-0.021265350888595866,-0.001966605804709587,-0.03565610915672346,0.01242415246341801,-0.021265350888595866,-0.001966605804709587
4,R4,Lille Bane,'23-R4,Lille bane 1,-0.012151320037282745,-0.012851052890488386,-0.008231078285339024,-0.022200324387607336,-0.0021023156869581557,-0.03553229810523537,0.011229658030669882,-0.022200324387607336,-0.0021023156869581557
5,R5,Lille Bane,'23-R5,Lille bane 1,-0.012851052890488386,,,-0.022567746306457564,-0.0031343594745192084,-0.022752881941524077,-0.0029492238394526974,-0.022567746306457564,-0.0031343594745192084
6,R6,Lille Bane,'23-R6,Lille bane 1,-0.012767619122566765,,,-0.022966392309395265,-0.002568845935738265,-0.05170561368446887,0.02617037543933534,-0.022966392309395265,-0.002568845935738265
7,R8,Lille Bane,'23-R8,Lille bane 1,-0.013002254295069729,-0.026786752933207467,-0.07759896459889247,-0.024389042582888668,-0.0016154660072507914,-0.0384972666238391,0.012492758033699645,-0.024389042582888668,-0.0016154660072507914
8,R9,Lille Bane,'23-R9,Lille bane 1,-0.026786752933207467,,,-0.03752632484190482,-0.01604718102451011,-0.06814562414071865,0.014572118274303714,-0.03752632484190482,-0.01604718102451011
9,R10,Lille Bane,'23-R10,Lille bane 1,-0.026642808615724888,,,-0.04057465199608023,-0.01271096523536955,-0.05549482999320307,0.002209212761753291,-0.04057465199608023,-0.01271096523536955
10,R11,Lille Bane,'23-R11,Lille bane 1,-0.026642351512323654,,,-0.040824755416187616,-0.01245994760845969,-0.05210599055790058,-0.00117871246674673,-0.040824755416187616,-0.01245994760845969
11,R12,Lille Bane,'23-R12,Lille bane 1,-0.02555348059313929,-0.03992820840571535,-0.04006443709795378,-0.04006274184756674,-0.011044219338711846,-0.040189033990075125,-0.010917927196203455,-0.04006274184756674,-0.011044219338711846
12,R13,Lille Bane,'23-R13,Lille bane 1,-0.03992820840571535,,,-0.044041196622282716,-0.035815220189147984,-0.05299980777160954,-0.026856609039821157,-0.044041196622282716,-0.035815220189147984
13,R14,Lille Bane,'23-R14,Lille bane 1,-0.03993537391511331,,,-0.04534487053423991,-0.034525877295986704,-0.1408700207357869,0.06099927290556028,-0.04534487053423991,-0.034525877295986704
14,R15,Lille Bane,'23-R15,Lille bane 1,-0.03993854557489922,-0.035563076696687956,0.12519244046745032,-0.046394472944889485,-0.03348261820490895,-0.08037815622773803,0.0005010650779395873,-0.046394472944889485,-0.03348261820490895
