x_pos,race_local,group,race_display,series,x_prior,x_post,x_obs,x_proc_q25,x_proc_q75,x_total_q25,x_total_q75,x_q25,x_q75
1,R1,Lille Bane,'25-R1,Lille bane 2,6.938893903907228e-18,,,-0.02356147912534532,0.023561479125345335,-0.04005031838963167,0.04005031838963168,-0.02356147912534532,0.023561479125345335
2,R2,Lille Bane,'25-R2,Lille bane 2,-0.010515501175597677,-0.009222243225096256,0.008646981184168354,-0.034104551990016385,0.01307354963882103,-0.07161858992095879,0.05058758756976344,-0.034104551990016385,0.01307354963882103
3,R3,Lille Bane,'25-R3,Lille bane 2,-0.009222243225096256,-0.005656848078337615,0.01649237652456757,-0.031178228881324016,0.012733742431131505,-0.04691556465592962,0.028471078205737115,-0.031178228881324016,0.012733742431131505
4,R4,Lille Bane,'25-R4,Lille bane 2,-0.005656848078337613,-0.004035020287503802,-0.005115029446295334,-0.023692456604456198,0.012378760447780971,-0.02543466055113319,0.014120964394457963,-0.023692456604456198,0.012378760447780971
5,R5,Lille Bane,'25-R5,Lille bane 2,-0.0040350202875038006,-0.005261148291000554,-0.007857532867027063,-0.01223598443913984,0.004165943864132238,-0.01582808845964196,0.007758047884634361,-0.01223598443913984,0.004165943864132238
6,R6,Lille Bane,'25-R6,Lille bane 2,-0.005261148291000554,,,-0.012170489839532374,0.0016481932575312672,-0.02516743464043566,0.01464513805843455,-0.012170489839532374,0.0016481932575312672
7,R7,Lille Bane,'25-R7,Lille bane 2,-0.005253700223782143,0.005976319096646504,0.06489040069151795,-0.013038262596348275,0.0025308621487839895,-0.024735380473692267,0.014227980026127983,-0.013038262596348275,0.0025308621487839895
8,R8,Lille Bane,'25-R8,Lille bane 2,0.005976319096646503,,,-0.0020172948749264006,0.013969933068219406,-0.011058080796239794,0.023010718989532802,-0.0020172948749264006,0.013969933068219406
9,R9,Lille Bane,'25-R9,Lille bane 2,0.006070908956658121,,,-0.002688178351707933,0.014829996265024174,-0.020593354992886875,0.03273517290620312,-0.002688178351707933,0.014829996265024174
10,R10,Lille Bane,'25-R10,Lille bane 2,0.006059853913350718,,,-0.006434455207671033,0.01855416303437247,-0.02126697895621176,0.0333866867829132,-0.006434455207671033,0.01855416303437247
11,R11,Lille Bane,'25-R11,Lille bane 2,0.00605658937185848,,,-0.006853674222425468,0.01896685296614243,-0.04455349006721129,0.05666666881092826,-0.006853674222425468,0.01896685296614243
12,R12,Lille Bane,'25-R12,Lille bane 2,0.006024959953576911,,,-0.007372596961488631,0.019422516868642454,-0.06251162236344107,0.07456154227059489,-0.007372596961488631,0.019422516868642454
13,R13,Lille Bane,'25-R13,Lille bane 2,0.005956161485701836,,,-0.007912157417870156,0.019824480389273827,-0.022511115007528115,0.034423437978931784,-0.007912157417870156,0.019824480389273827
14,R14,Lille Bane,'25-R14,Lille bane 2,0.006007962404607993,,,-0.008313958635829212,0.0203298834450452,-0.010935272798579901,0.02295119760779589,-0.008313958635829212,0.0203298834450452
15,R15,Lille Bane,'25-R15,Lille bane 2,0.005808463678357883,,,-0.008934602818462832,0.020551530175178596,-0.019701809643940534,0.0313187370006563,-0.008934602818462832,0.020551530175178596
16,R16,Lille Bane,'25-R16,Lille bane 2,0.005166414602290185,,,-0.01000123506756663,0.020334064272147,-0.01217800441975769,0.022510833624338058,-0.01000123506756663,0.020334064272147
17,R17,Lille Bane,'25-R17,Lille bane 2,0.005007657950458275,,,-0.010545048778895299,0.02056036467981185,-0.02367351246794553,0.033688828368862084,-0.010545048778895299,0.02056036467981185
