x_pos,race_local,group,race_display,series,x_prior,x_post,x_obs,x_proc_q25,x_proc_q75,x_total_q25,x_total_q75,x_q25,x_q75
1,R1,Lille Bane,'24-R1,Lille bane 3,0.0,0.08940526406639905,0.10985955418749782,-0.02205935536013792,0.02205935536013792,-0.024484445715485387,0.024484445715485387,-0.02205935536013792,0.02205935536013792
2,R2,Lille Bane,'24-R2,Lille bane 3,0.08943424061420438,,,0.07936471607527405,0.09950376515313471,0.06342977336814717,0.11543870786026159,0.07936471607527405,0.09950376515313471
3,R3,Lille Bane,'24-R3,Lille bane 3,0.08939247972995873,,,0.07871066777530597,0.10007429168461149,0.05503228159643524,0.12375267786348222,0.07871066777530597,0.10007429168461149
4,R4,Lille Bane,'24-R4,Lille bane 3,0.08800455077745004,,,0.077039137884627,0.09896996367027307,0.0640373509459301,0.11197175060896997,0.077039137884627,0.09896996367027307
5,R5,Lille Bane,'24-R5,Lille bane 3,0.08782418021902523,,,0.07640878172715655,0.09923957871089391,0.06262367259512151,0.11302468784292895,0.07640878172715655,0.09923957871089391
6,R6,Lille Bane,'24-R6,Lille bane 3,0.08728054367154033,0.09041300128028808,0.1154526073828368,0.07501108380050943,0.09955000354257122,0.0482883766809114,0.12627271066216925,0.07501108380050943,0.09955000354257122
7,R7,Lille Bane,'24-R7,Lille bane 3,0.09017863897675665,,,0.07861635951647966,0.10174091843703365,0.07145992446435089,0.10889735348916242,0.07861635951647966,0.10174091843703365
8,R8,Lille Bane,'24-R8,Lille bane 3,0.09008701104312258,0.06373150703563897,0.0007412166319227254,0.07806195172267812,0.10211207036356705,0.06778016336344717,0.112393858722798,0.07806195172267812,0.10211207036356705
9,R9,Lille Bane,'24-R9,Lille bane 3,0.06220508283430363,0.06920342739275717,0.18486731364119002,0.04955216371857242,0.07485800195003484,0.008222578555125988,0.11618758711348126,0.04955216371857242,0.07485800195003484
10,R10,Lille Bane,'24-R10,Lille bane 3,0.06918111035689757,,,0.05294827852915775,0.0854139421846374,0.009051697717822493,0.12931052299597265,0.05294827852915775,0.0854139421846374
11,R11,Lille Bane,'24-R11,Lille bane 3,0.06945700933430525,0.07333442914806358,0.1113673641407189,0.05324765155765633,0.08566636711095417,0.013623973724190434,0.12529004494442006,0.05324765155765633,0.08566636711095417
12,R12,Lille Bane,'24-R12,Lille bane 3,0.07284561697115143,0.0658038047890667,0.03766223588123374,0.05886898098311508,0.08682225295918777,0.04055138457181787,0.10513984937048498,0.05886898098311508,0.08682225295918777
13,R13,Lille Bane,'24-R13,Lille bane 3,0.06564536870752583,0.058798326753520085,0.007891984046480616,0.05124342914654078,0.08004730826851088,0.022645006117829845,0.1086457312972218,0.05124342914654078,0.08004730826851088
14,R14,Lille Bane,'24-R14,Lille bane 3,0.05980550405562188,0.04705579181482332,0.007017566915690665,0.04694453269885554,0.07266647541238822,0.032909715288897655,0.0867012928223461,0.04694453269885554,0.07266647541238822
15,R15,Lille Bane,'24-R15,Lille bane 3,0.04598799790454073,0.04952381867315892,0.07059584771844563,0.03316946108973176,0.0588065347193497,0.011239538895801059,0.08073645691328041,0.03316946108973176,0.0588065347193497
16,R16,Lille Bane,'24-R16,Lille bane 3,0.04615658334605405,0.04444033596983238,0.018532367570502473,0.028956929490617414,0.06335623720149068,-0.022714357412803268,0.11502752410491136,0.028956929490617414,0.06335623720149068
17,R17,Lille Bane,'24-R17,Lille bane 3,0.0473072382551229,0.06541484741335751,0.22131040009284497,0.033355858776362005,0.0612586177338838,0.003647822077470983,0.09096665443277482,0.033355858776362005,0.0612586177338838
18,R18,Lille Bane,'24-R18,Lille bane 3,0.0641384494757838,0.0509970527196395,0.0434996234391285,0.05300822472219638,0.07526867422937122,0.05015221120989094,0.07812468774167666,0.05300822472219638,0.07526867422937122
19,R1,Lille Bane,'25-R1,Lille bane 1,0.0510893606651623,0.06937462282694037,0.16387585103565883,0.03549764490864834,0.06668107642167626,0.013055715818887745,0.08912300551143686,0.03549764490864834,0.06668107642167626
20,R2,Lille Bane,'25-R2,Lille bane 1,0.07419230110581007,,,0.05438566546274577,0.09399893674887437,0.01081436144023197,0.13757024077138819,0.05438566546274577,0.09399893674887437
21,R3,Lille Bane,'25-R3,Lille bane 1,0.06946469147800571,0.08784876952246842,0.18431153961343583,0.053694219010109526,0.0852351639459019,0.030299742170596687,0.10862964078541473,0.053694219010109526,0.0852351639459019
22,R4,Lille Bane,'25-R4,Lille bane 1,0.07823418729055714,,,0.06561833853898703,0.09085003604212726,0.06206209348689127,0.09440628109422303,0.06561833853898703,0.09085003604212726
23,R5,Lille Bane,'25-R5,Lille bane 1,0.07699427861960757,0.06523275020262354,0.0637104439230427,0.06433803528141449,0.08965052195780066,0.06355726423839873,0.09043129300081641,0.06433803528141449,0.08965052195780066
24,R6,Lille Bane,'25-R6,Lille bane 1,0.0696698173607783,0.07233589678940817,0.08827975750787687,0.06268083681982049,0.07665879790173612,0.051120094525681045,0.08821954019587556,0.06268083681982049,0.07665879790173612
25,R7,Lille Bane,'25-R7,Lille bane 1,0.07312225563851621,,,0.06540954332361368,0.08083496795341874,0.0525484953271768,0.09369601594985562,0.06540954332361368,0.08083496795341874
26,R8,Lille Bane,'25-R8,Lille bane 1,0.07084060581903136,,,0.06332410398781473,0.07835710765024799,0.055261265081521155,0.08641994655654156,0.06332410398781473,0.07835710765024799
27,R9,Lille Bane,'25-R9,Lille bane 1,0.0765105971089643,0.08569240006983464,0.14846070728228788,0.06622238364597649,0.0867988105719521,0.04751058877699505,0.10551060544093355,0.06622238364597649,0.0867988105719521
28,R10,Lille Bane,'25-R10,Lille bane 1,0.08464248527576203,,,0.07222438382712722,0.09706058672439684,0.05644038699313374,0.11284458355839032,0.07222438382712722,0.09706058672439684
29,R11,Lille Bane,'25-R11,Lille bane 1,0.09871627561242564,0.1062658373706577,0.16428021669072912,0.08090049275901987,0.11653205846583142,0.04601163425548676,0.15142091696936452,0.08090049275901987,0.11653205846583142
