x_pos,race_local,race_display,group,series,prior_pct,post_pct,obs_pct,proc_q25_pct,proc_q75_pct,total_q25_pct,total_q75_pct,q25_pct,q75_pct
1,R1,'24-R1,Lille Bane,Lille bane 3,0.20612731636553416,8.528285177721905,11.03136769789359,-2.211933481872741,2.683980870838454,-2.5395710507569835,3.0291787138871262,-2.211933481872741,2.683980870838454
2,R2,'24-R2,Lille Bane,Lille bane 3,8.528285177721905,,,7.224764314583965,9.847652815170772,5.740354306140216,11.389722125538349,7.224764314583965,9.847652815170772
3,R3,'24-R3,Lille Bane,Lille bane 3,8.435701335904099,,,7.079262787385288,9.80932272158499,4.734093214339685,12.268135077523223,7.079262787385288,9.80932272158499
4,R4,'24-R4,Lille Bane,Lille bane 3,7.947105127367227,,,6.548328942189774,9.3642445739458,5.128948610346606,10.840807022320442,6.548328942189774,9.3642445739458
5,R5,'24-R5,Lille Bane,Lille bane 3,7.911977144212257,,,6.463097789206995,9.380574612150095,5.1344983300328995,10.762832335182782,6.463097789206995,9.380574612150095
6,R6,'24-R6,Lille Bane,Lille bane 3,7.705329672727301,8.241990870678674,11.895794851628771,6.214103780270608,9.217492094168245,3.4749236571343767,12.108689041888908,6.214103780270608,9.217492094168245
7,R7,'24-R7,Lille Bane,Lille bane 3,8.241990870678674,,,6.7851012145211165,9.7187571523774,6.141065376139121,10.384501475730957,6.7851012145211165,9.7187571523774
8,R8,'24-R8,Lille Bane,Lille bane 3,8.30372419727925,4.504711183528287,-0.31512381036434833,6.7985089610610006,9.830153895472504,6.009019934895465,10.648100342820088,6.7985089610610006,9.830153895472504
9,R9,'24-R9,Lille Bane,Lille bane 3,4.504711183528287,5.1363531053188805,19.620333096703458,3.341630848170807,5.6808816535719675,-1.0390000742276695,10.358976442682977,3.341630848170807,5.6808816535719675
10,R10,'24-R10,Lille Bane,Lille bane 3,5.1363531053188805,,,3.6634393040899216,6.63019497029349,-0.8120738487414791,11.441514841532374,3.6634393040899216,6.63019497029349
11,R11,'24-R11,Lille Bane,Lille bane 3,5.174165407757059,5.646219070190894,11.062725162533592,3.665867649205201,6.704408307752674,-0.28874360927845233,10.936372377788617,3.665867649205201,6.704408307752674
12,R12,'24-R12,Lille Bane,Lille bane 3,5.646219070190894,5.106875799727906,3.2666850994107044,4.141129552221612,7.173060747627269,2.326285398879935,9.073866605431746,4.141129552221612,7.173060747627269
13,R13,'24-R13,Lille Bane,Lille bane 3,5.106875799727906,4.524047198409442,0.40732809138936954,3.7188595996406892,6.513467107362003,0.9607112794199235,9.423311309726934,3.7188595996406892,6.513467107362003
