x_pos,race_local,group,race_display,series,x_prior,x_post,x_obs,x_proc_q25,x_proc_q75,x_total_q25,x_total_q75,x_q25,x_q75
1,R1,Stor Bane,'25-R1,Stor bane 1,0.003946756503191531,,,-0.011638081092076336,0.0195315940984594,-0.013851568635305738,0.0217450816416888,-0.011638081092076336,0.0195315940984594
2,R2,Stor Bane,'25-R2,Stor bane 1,-0.004940946544293081,,,-0.019334926817726736,0.009453033729140572,-0.0542159000655824,0.04433400697699624,-0.019334926817726736,0.009453033729140572
3,R3,Stor Bane,'25-R3,Stor bane 1,-0.0042353185072566205,,,-0.018806557968765684,0.010335920954252443,-0.027882284339550225,0.019411647325036984,-0.018806557968765684,0.010335920954252443
4,R4,Stor Bane,'25-R4,Stor bane 1,-0.008230038242617322,,,-0.022889940787938778,0.006429864302704133,-0.03102122428940063,0.014561147804165986,-0.022889940787938778,0.006429864302704133
5,R5,Stor Bane,'25-R5,Stor bane 1,-0.006777118431369259,,,-0.021549625020275756,0.007995388157537236,-0.026301368193009482,0.012747131330270965,-0.021549625020275756,0.007995388157537236
6,R6,Stor Bane,'25-R6,Stor bane 1,-0.007128692125762999,,,-0.02197275245248346,0.00771536820095746,-0.04002143594075771,0.025764051689231713,-0.02197275245248346,0.00771536820095746
7,R7,Stor Bane,'25-R7,Stor bane 1,-0.00789963756400127,,,-0.02290397846347729,0.007104703335474747,-0.031028116776640392,0.015228841648637852,-0.02290397846347729,0.007104703335474747
8,R8,Stor Bane,'25-R8,Stor bane 1,-0.0067405682452680495,,,-0.02188283544564023,0.008401698955104132,-0.026097385997455765,0.012616249506919667,-0.02188283544564023,0.008401698955104132
9,R9,Stor Bane,'25-R9,Stor bane 1,-0.005308070828550392,,,-0.02059259928228117,0.009976457625180384,-0.021681621981871263,0.011065480324770477,-0.02059259928228117,0.009976457625180384
10,R10,Stor Bane,'25-R10,Stor bane 1,-0.004224494209059507,,,-0.02048361796012091,0.012034629542001893,-0.03198336048574032,0.023534372067621302,-0.02048361796012091,0.012034629542001893
11,R11,Stor Bane,'25-R11,Stor bane 1,-0.00418316924701451,,,-0.02056464394062268,0.012198305446593661,-0.07132617294054935,0.06295983444652034,-0.02056464394062268,0.012198305446593661
12,R12,Stor Bane,'25-R12,Stor bane 1,-0.003991020401087635,,,-0.020534247882990304,0.012552207080815036,-0.02992946367444784,0.021947422872272575,-0.020534247882990304,0.012552207080815036
13,R13,Stor Bane,'25-R13,Stor bane 1,-0.004354485078218797,,,-0.021050110549159312,0.012341140392721717,-0.09084476770454725,0.08213579754810965,-0.021050110549159312,0.012341140392721717
14,R14,Stor Bane,'25-R14,Stor bane 1,-0.004243831694003791,,,-0.021099090252362385,0.012611426864354802,-0.030087549963812035,0.02159988657580445,-0.021099090252362385,0.012611426864354802
15,R15,Stor Bane,'25-R15,Stor bane 1,-0.004180972728197261,,,-0.021187132279455016,0.012825186823060494,-0.0295430498512378,0.02118110439484328,-0.021187132279455016,0.012825186823060494
16,R16,Stor Bane,'25-R16,Stor bane 1,-0.004215813188167574,,,-0.021367983293936733,0.012936356917601585,-0.02545317169997654,0.01702154532364139,-0.021367983293936733,0.012936356917601585
17,R17,Stor Bane,'25-R17,Stor bane 1,-0.0038260600774342674,,,-0.021115426064644227,0.013463305909775694,-0.024905170927415315,0.017253050772546782,-0.021115426064644227,0.013463305909775694
