x_pos,race_local,race_display,group,series,prior_pct,post_pct,obs_pct,proc_q25_pct,proc_q75_pct,total_q25_pct,total_q75_pct,q25_pct,q75_pct
1,R1,'25-R1,Stor Bane,Stor bane 1,0.3954555203120602,,,-1.1570620583559843,1.9723583599027927,-1.3756077069597583,2.1983228974707725,-1.1570620583559843,1.9723583599027927
2,R2,'25-R2,Stor Bane,Stor bane 1,-0.49287601469568676,,,-1.9149206012377573,0.9497854772769543,-5.277242207246957,4.533144458176563,-1.9149206012377573,0.9497854772769543
3,R3,'25-R3,Stor Bane,Stor bane 1,-0.42263621945680674,,,-1.8630818069395483,1.0389521095008236,-2.749716112249556,1.960127838059722,-1.8630818069395483,1.0389521095008236
4,R4,'25-R4,Stor Bane,Stor bane 1,-0.8196264195290737,,,-2.262995356875974,0.6450580256636362,-3.0545003135745374,1.466767775494171,-2.262995356875974,0.6450580256636362
5,R5,'25-R5,Stor Bane,Stor bane 1,-0.6754205554565518,,,-2.131909079590577,0.8027436629817641,-2.5958499755121656,1.2828722323969366,-2.131909079590577,0.8027436629817641
6,R6,'25-R6,Stor Bane,Stor bane 1,-0.710334327054507,,,-2.173310993836264,0.7745208347401222,-3.9231156052435545,2.6098813627154716,-2.173310993836264,0.7745208347401222
7,R7,'25-R7,Stor Bane,Stor bane 1,-0.7868517427031207,,,-2.264367347605456,0.7130001616990622,-3.055168506891315,1.5345391344981474,-2.264367347605456,0.7130001616990622
8,R8,'25-R8,Stor Bane,Stor bane 1,-0.6717901572479645,,,-2.1645143152918656,0.8437092279685032,-2.5759792365645517,1.2696170128574824,-2.1645143152918656,0.8437092279685032
9,R9,'25-R9,Stor Bane,Stor bane 1,-0.5294007913908105,,,-2.038201964743158,1.0026388384452467,-2.144826517679177,1.1126929196784152,-2.038201964743158,1.0026388384452467
10,R10,'25-R10,Stor Bane,Stor bane 1,-0.42155835854402746,,,-2.0275253767083057,1.2107337072762236,-3.1477302307641675,2.3813490728384457,-2.0275253767083057,1.2107337072762236
11,R11,'25-R11,Stor Bane,Stor bane 1,-0.41744319819385645,,,-2.0354633709306236,1.22730082145186,-6.884187599360903,6.498406269791435,-2.0354633709306236,1.22730082145186
12,R12,'25-R12,Stor Bane,Stor bane 1,-0.3983066863594953,,,-2.032485589973143,1.263131668564088,-2.9486012375185666,2.21900392413108,-2.032485589973143,1.263131668564088
13,R13,'25-R13,Stor Bane,Stor bane 1,-0.4345018054393468,,,-2.083010340118041,1.2417606501712308,-8.68405482645892,8.560322207598947,-2.083010340118041,1.2417606501712308
14,R14,'25-R14,Stor Bane,Stor bane 1,-0.4234839365420684,,,-2.0878061677600535,1.269128626869609,-2.963942520371343,2.1834852824447193,-2.0878061677600535,1.269128626869609
15,R15,'25-R15,Stor Bane,Stor bane 1,-0.41722446299374827,,,-2.0964261763150582,1.2907782254492517,-2.91109198889552,2.1407016187632077,-2.0964261763150582,1.2907782254492517
16,R16,'25-R16,Stor Bane,Stor bane 1,-0.4206939122596176,,,-2.11413053598849,1.3020393567796384,-2.5131970690571492,1.7167237286482173,-2.11413053598849,1.3020393567796384
17,R17,'25-R17,Stor Bane,Stor bane 1,-0.3818750035434526,,,-2.0894056299143093,1.3554344313286837,-2.4597595851825416,1.7402744303889106,-2.0894056299143093,1.3554344313286837
