x_pos,race_local,group,race_display,series,x_prior,x_post,x_obs,x_proc_q25,x_proc_q75,x_total_q25,x_total_q75,x_q25,x_q75
1,R1,Stor Bane,'25-R1,Stor bane 1,0.003946756503191531,-0.025952869262892506,-0.031232772877903277,-0.011638081092076336,0.0195315940984594,-0.013851568635305738,0.0217450816416888,-0.011638081092076336,0.0195315940984594
2,R2,Stor Bane,'25-R2,Stor bane 1,-0.025952869262892503,-0.028269837054307453,-0.11267227392728382,-0.033760719798885445,-0.018145018726899557,-0.0737210271340689,0.021815288608283898,-0.033760719798885445,-0.018145018726899557
3,R3,Stor Bane,'25-R3,Stor bane 1,-0.028269837054307453,-0.02666638476046122,-0.014598632457272595,-0.036315688322345094,-0.020223985786269813,-0.048557609141365345,-0.007982064967249562,-0.036315688322345094,-0.020223985786269813
4,R4,Stor Bane,'25-R4,Stor bane 1,-0.02666638476046122,-0.02565254656892617,-0.021841497569337825,-0.034408908757344925,-0.018923860763577518,-0.04575753707306633,-0.0075752324478561076,-0.034408908757344925,-0.018923860763577518
5,R5,Stor Bane,'25-R5,Stor bane 1,-0.025652546568926165,-0.028526649010539015,-0.03654724903338828,-0.033103247680586215,-0.018201845457266115,-0.04043369418644609,-0.010871398951406246,-0.033103247680586215,-0.018201845457266115
6,R6,Stor Bane,'25-R6,Stor bane 1,-0.028526649010539015,-0.028534901962179764,-0.02708002821079357,-0.03537177885279064,-0.021681519168287387,-0.058667025107277435,0.0016137270861994006,-0.03537177885279064,-0.021681519168287387
7,R7,Stor Bane,'25-R7,Stor bane 1,-0.028534901962179764,-0.02831861958468761,-0.02758904440093844,-0.035594847825831576,-0.02147495609852795,-0.04749905605508582,-0.00957074786927371,-0.035594847825831576,-0.02147495609852795
8,R8,Stor Bane,'25-R8,Stor bane 1,-0.02831861958468761,,,-0.03527281825129195,-0.021364420918083268,-0.042238354374493914,-0.014398884794881307,-0.03527281825129195,-0.021364420918083268
9,R9,Stor Bane,'25-R9,Stor bane 1,-0.028212434553686463,,,-0.03554028515186067,-0.020884583955512258,-0.037602523036052944,-0.01882234607131998,-0.03554028515186067,-0.020884583955512258
10,R10,Stor Bane,'25-R10,Stor bane 1,-0.028156706494838903,,,-0.03748833017849322,-0.01882508281118458,-0.05251393852944531,-0.003799474460232495,-0.03748833017849322,-0.01882508281118458
11,R11,Stor Bane,'25-R11,Stor bane 1,-0.028087471536327378,-0.030178938828947274,-0.12565860998713405,-0.037636756399747374,-0.01853818667290738,-0.09389794998205403,0.03772300690939928,-0.037636756399747374,-0.01853818667290738
12,R12,Stor Bane,'25-R12,Stor bane 1,-0.030178938828947274,,,-0.03990838766840575,-0.020449489989488794,-0.05240024929091116,-0.00795762836698339,-0.03990838766840575,-0.020449489989488794
13,R13,Stor Bane,'25-R13,Stor bane 1,-0.030259529956062996,-0.03147286753021177,-0.11714929987079696,-0.04025597569102063,-0.020263084221105364,-0.11570983133790841,0.05519077142578241,-0.04025597569102063,-0.020263084221105364
14,R14,Stor Bane,'25-R14,Stor bane 1,-0.03147286753021177,,,-0.041668755274007666,-0.021276979786415882,-0.05355802453269167,-0.009387710527731873,-0.041668755274007666,-0.021276979786415882
15,R15,Stor Bane,'25-R15,Stor bane 1,-0.03151518748246622,,,-0.04196568220313218,-0.021064692761800254,-0.05303815970330245,-0.009992215261629987,-0.04196568220313218,-0.021064692761800254
16,R16,Stor Bane,'25-R16,Stor bane 1,-0.03157570814773326,,,-0.04227214380267598,-0.020879272492790535,-0.048045140224832736,-0.015106276070633775,-0.04227214380267598,-0.020879272492790535
17,R17,Stor Bane,'25-R17,Stor bane 1,-0.031477192593858026,,,-0.04240777894311951,-0.02054660624459654,-0.04775246389496873,-0.01520192129274732,-0.04240777894311951,-0.02054660624459654
18,R1,Stor Bane,'26-R1,Stor bane 1,-0.031661354424661954,-0.038858707674310426,-0.1342391393211601,-0.0487962754304539,-0.014526433418870006,-0.09634380631659925,0.03302109746727535,-0.0487962754304539,-0.014526433418870006
19,R2,Stor Bane,'26-R2,Stor bane 1,-0.038858707674310426,-0.018689921175497434,0.054141373320495075,-0.05534498768967716,-0.022372427658943695,-0.07444558103989096,-0.003271834308729883,-0.05534498768967716,-0.022372427658943695
20,R3,Stor Bane,'26-R3,Stor bane 1,-0.018689921175497434,-0.006908031879139532,0.08153666311699533,-0.03346784911253483,-0.003911993238460039,-0.06172338621968675,0.024343543868691885,-0.03346784911253483,-0.003911993238460039
