x_pos,race_local,race_display,group,series,prior_pct,post_pct,obs_pct,proc_q25_pct,proc_q75_pct,total_q25_pct,total_q75_pct,q25_pct,q75_pct
1,R1,'25-R1,Stor Bane,Stor bane 1,0.3954555203120602,-2.561898817812236,-3.0750068280563037,-1.1570620583559843,1.9723583599027927,-1.3756077069597583,2.1983228974707725,-1.1570620583559843,1.9723583599027927
2,R2,'25-R2,Stor Bane,Stor bane 1,-2.561898817812236,-2.787398421368925,-10.655658315641482,-3.3197186265732093,-1.798138905708646,-7.106919581407556,2.205498183587107,-3.3197186265732093,-1.798138905708646
3,R3,'25-R3,Stor Bane,Stor bane 1,-2.787398421368925,-2.631397615876141,-1.4492589079060925,-3.5664184130250964,-2.0020852677518075,-4.73975408846824,-0.7950292878505127,-3.5664184130250964,-2.0020852677518075
4,R4,'25-R4,Stor Bane,Stor bane 1,-2.631397615876141,-2.5326315501778773,-2.1604699204938793,-3.3823654117895785,-1.8745928665648837,-4.47264474648863,-0.7546612687246657,-3.3823654117895785,-1.8745928665648837
5,R5,'25-R5,Stor Bane,Stor bane 1,-2.5326315501778773,-2.8123605743238245,-3.588746056543546,-3.256133136627981,-1.8037192378330347,-3.9627159297143333,-1.0812518856654685,-3.256133136627981,-1.8037192378330347
6,R6,'25-R6,Stor Bane,Stor bane 1,-2.8123605743238245,-2.8131626559023126,-2.6716651717408224,-3.475350869185101,-2.1448164568375727,-5.697928089174642,0.16150298444248534,-3.475350869185101,-2.1448164568375727
7,R7,'25-R7,Stor Bane,Stor bane 1,-2.8131626559023126,-2.792140582390512,-2.7211942633041053,-3.4968801221963997,-2.124601101932022,-4.638862671119259,-0.9525094025117475,-3.4968801221963997,-2.124601101932022
8,R8,'25-R8,Stor Bane,Stor bane 1,-2.792140582390512,,,-3.4657982591894454,-2.1137818291096067,-4.135874299840658,-1.429571661570761,-3.4657982591894454,-2.1137818291096067
9,R9,'25-R9,Stor Bane,Stor bane 1,-2.7818180147833216,,,-3.4916145102776963,-2.066801132869045,-3.690432683331002,-1.8646311904373936,-3.4916145102776963,-2.066801132869045
10,R10,'25-R10,Stor Bane,Stor bane 1,-2.776400083252595,,,-3.6794341906660644,-1.8648997610458462,-5.115890448591953,-0.3792265590008337,-3.6794341906660644,-1.8648997610458462
11,R11,'25-R11,Stor Bane,Stor bane 1,-2.769668578320972,-2.972810130335024,-11.808412733200612,-3.693729627343134,-1.8367411406512546,-8.96243386469131,3.844355134873667,-3.693729627343134,-1.8367411406512546
12,R12,'25-R12,Stor Bane,Stor bane 1,-2.972810130335024,,,-3.9122536654995765,-2.024181717915785,-5.105102533204741,-0.7926050260165685,-3.9122536654995765,-2.024181717915785
13,R13,'25-R13,Stor Bane,Stor bane 1,-2.980629345843566,-3.098275207173451,-11.054761187685646,-3.945646811380521,-2.005916757931858,-10.926635120668049,5.674219166190619,-3.945646811380521,-2.005916757931858
14,R14,'25-R14,Stor Bane,Stor bane 1,-3.098275207173451,,,-4.081254625891118,-2.1052221731905574,-5.2149059199763315,-0.9343783538675487,-4.081254625891118,-2.1052221731905574
15,R15,'25-R15,Stor Bane,Stor bane 1,-3.1023759967668374,,,-4.109731256452076,-2.084438176071901,-5.165617672710699,-0.9942458941903265,-4.109731256452076,-2.084438176071901
16,R16,'25-R16,Stor Bane,Stor bane 1,-3.108240127981965,,,-4.139113439106601,-2.0662809629526158,-4.690923662488256,-1.4992748659985566,-4.139113439106601,-2.0662809629526158
17,R17,'25-R17,Stor Bane,Stor bane 1,-3.09869431239429,,,-4.152114662187034,-2.0336963004606745,-4.663024869364019,-1.5086955392039747,-4.152114662187034,-2.0336963004606745
18,R1,'26-R1,Stor Bane,Stor bane 1,-3.116538191125884,-3.811339325878682,-12.561905926514195,-4.762486784985542,-1.4421433823014196,-9.184826591308637,3.357234477000448,-4.762486784985542,-1.4421433823014196
19,R2,'26-R2,Stor Bane,Stor bane 1,-3.811339325878682,-1.8516347639400688,5.563383006619227,-5.3841321453821145,-2.2124020835720737,-7.174201248108036,-0.3266487691529374,-5.3841321453821145,-2.2124020835720737
20,R3,'26-R3,Stor Bane,Stor bane 1,-1.8516347639400688,-0.688422627508356,8.495299461339624,-3.2913996595155592,-0.39043513611496383,-5.985709268957262,2.464226700061123,-3.2913996595155592,-0.39043513611496383
