x_pos,race_local,group,race_display,series,x_prior,x_post,x_obs,x_proc_q25,x_proc_q75,x_total_q25,x_total_q75,x_q25,x_q75
1,R1,Lille Bane,'23-R1,Lille bane 1,0.0,,,-0.022112617040456976,0.022112617040456976,-0.02857091729548811,0.02857091729548811,-0.022112617040456976,0.022112617040456976
2,R2,Lille Bane,'23-R2,Lille bane 1,-1.2579636406625146e-16,,,-0.021748981782583186,0.021748981782582937,-0.022465731621221487,0.022465731621221237,-0.021748981782583186,0.021748981782582937
3,R3,Lille Bane,'23-R3,Lille bane 1,2.667079520198475e-15,-0.0031772224676988106,-0.0017107335347539276,-0.021213051690277082,0.021213051690282418,-0.030047361010983202,0.030047361010988538,-0.021213051690277082,0.021213051690282418
4,R4,Lille Bane,'23-R4,Lille bane 1,-0.003173406438094405,-0.002633372961834726,0.015849402432703386,-0.01853787080347509,0.01219105792728628,-0.036997243310465965,0.030650430434277155,-0.01853787080347509,0.01219105792728628
5,R5,Lille Bane,'23-R5,Lille bane 1,-0.0027168360099838235,0.0003044130952566437,0.0034744136672966164,-0.016512570671947297,0.011078898651979651,-0.02250598884249799,0.017072316822530343,-0.016512570671947297,0.011078898651979651
6,R6,Lille Bane,'23-R6,Lille bane 1,0.0004841750582898046,-0.00656580584141085,-0.08843995147187123,-0.010623422862329444,0.011591772978909055,-0.0393436495344153,0.04031199965099491,-0.010623422862329444,0.011591772978909055
7,R8,Lille Bane,'23-R8,Lille bane 1,-0.006342082153451229,-0.00992497310106359,-0.026644646098457514,-0.017610171718854453,0.004926007411951994,-0.034901912138971605,0.022217747832069146,-0.017610171718854453,0.004926007411951994
8,R9,Lille Bane,'23-R9,Lille bane 1,-0.010177648982514755,-0.015729921090458898,-0.06472268654384905,-0.02157653919643572,0.0012212412314062098,-0.046897466433530245,0.026542168468500736,-0.02157653919643572,0.0012212412314062098
9,R10,Lille Bane,'23-R10,Lille bane 1,-0.015295919998079964,-0.017220067613456923,-0.02369606524520762,-0.028455000568247783,-0.0021368394279121464,-0.04536905882297767,0.014777218826817741,-0.028455000568247783,-0.0021368394279121464
10,R11,Lille Bane,'23-R11,Lille bane 1,-0.01691570997395738,-0.022425819445260394,-0.040494004228261105,-0.029149650527532545,-0.004681769420382219,-0.04225743384761467,0.008426013899699908,-0.029149650527532545,-0.004681769420382219
11,R12,Lille Bane,'23-R12,Lille bane 1,-0.02044132898519805,,,-0.031090038499551085,-0.009792619470845015,-0.03109025210846756,-0.00979240586192854,-0.031090038499551085,-0.009792619470845015
12,R13,Lille Bane,'23-R13,Lille bane 1,-0.024924685648830495,-0.03190745586367731,-0.038549678836547585,-0.035703744409057894,-0.014145626888603097,-0.04161159799054094,-0.008237773307120045,-0.035703744409057894,-0.014145626888603097
13,R14,Lille Bane,'23-R14,Lille bane 1,-0.041501041893652765,-0.04702725931911135,-0.1654239211531623,-0.06297568975098665,-0.020026394036318885,-0.1445934167093399,0.06159133292203435,-0.06297568975098665,-0.020026394036318885
14,R15,Lille Bane,'23-R15,Lille bane 1,-0.03773104408047808,,,-0.04977722020078889,-0.025684867960167272,-0.07983926146403016,0.0043771733030739945,-0.04977722020078889,-0.025684867960167272
15,R16,Lille Bane,'23-R16,Lille bane 1,-0.03386541277025201,,,-0.04369137573940346,-0.024039449801100562,-0.05005815388838392,-0.017672671652120102,-0.04369137573940346,-0.024039449801100562
16,R17,Lille Bane,'23-R17,Lille bane 1,-0.034252275783789116,-0.04194543668271519,-0.07302497166447175,-0.04470542241048885,-0.02379912915708938,-0.056629691109874786,-0.011874860457703442,-0.04470542241048885,-0.02379912915708938
17,R1,Lille Bane,'24-R1,Lille bane 1,-0.0393210124252667,-0.04197592707591491,-0.041536555906114714,-0.053472030283186416,-0.025169994567346983,-0.05701632902330664,-0.021625695827226756,-0.053472030283186416,-0.025169994567346983
18,R2,Lille Bane,'24-R2,Lille bane 1,-0.044908528138624414,-0.04855570404274639,-0.06460830198789225,-0.055974565026805936,-0.03384249125044289,-0.07131485625750031,-0.018502200019748512,-0.055974565026805936,-0.03384249125044289
19,R3,Lille Bane,'24-R3,Lille bane 1,-0.05086913026169135,-0.052215423014186496,-0.05338929700923423,-0.06327650209859069,-0.038461758424792006,-0.08580428426220366,-0.015933976261179032,-0.06327650209859069,-0.038461758424792006
20,R4,Lille Bane,'24-R4,Lille bane 1,-0.0491674944650916,-0.05540834498383512,-0.07938208771505373,-0.059874688898445355,-0.03846030003173785,-0.07301766009318654,-0.025317328836996666,-0.059874688898445355,-0.03846030003173785
21,R5,Lille Bane,'24-R5,Lille bane 1,-0.05580459143584529,,,-0.0664584500017923,-0.04515073286989828,-0.08066940521189184,-0.030939777659798745,-0.0664584500017923,-0.04515073286989828
22,R6,Lille Bane,'24-R6,Lille bane 1,-0.06119431244698385,-0.05432456058571188,-0.0039774621952322065,-0.07466525360075191,-0.0477233712932158,-0.10058105763704159,-0.02180756725692612,-0.07466525360075191,-0.0477233712932158
23,R7,Lille Bane,'24-R7,Lille bane 1,-0.04871690013953425,-0.04619468304532931,-0.04103493376932299,-0.059065326590733463,-0.03836847368833504,-0.06671117413698374,-0.030722626142084764,-0.059065326590733463,-0.03836847368833504
24,R8,Lille Bane,'24-R8,Lille bane 1,-0.04712547222860583,-0.04216651436978156,-0.025441466712772254,-0.057013536988118105,-0.037237407469093556,-0.06835675166325933,-0.02589419279395233,-0.057013536988118105,-0.037237407469093556
25,R9,Lille Bane,'24-R9,Lille bane 1,-0.04794018711072525,-0.049065293145350616,-0.06236328306393624,-0.06365124651376437,-0.03222912770768613,-0.10272021808614566,0.006839843864695161,-0.06365124651376437,-0.03222912770768613
26,R10,Lille Bane,'24-R10,Lille bane 1,-0.05008034259627391,-0.05674534667185257,-0.11805364353318382,-0.06927001085912114,-0.030890674333426682,-0.11107448004579118,0.010913794853243355,-0.06927001085912114,-0.030890674333426682
27,R11,Lille Bane,'24-R11,Lille bane 1,-0.055561088908392085,,,-0.07369688726860926,-0.03742529054817491,-0.11198352919655577,0.0008613513797715994,-0.07369688726860926,-0.03742529054817491
28,R12,Lille Bane,'24-R12,Lille bane 1,-0.04897648689166433,-0.050351861679696304,-0.05515174489534047,-0.06302292685566163,-0.03493004692766703,-0.0813009910391725,-0.016651982744156163,-0.06302292685566163,-0.03493004692766703
29,R13,Lille Bane,'24-R13,Lille bane 1,-0.053511300753777226,-0.05456500161077461,-0.06056723390235774,-0.06909479271100229,-0.037927808796552165,-0.09692167441385942,-0.010100927093695033,-0.06909479271100229,-0.037927808796552165
30,R14,Lille Bane,'24-R14,Lille bane 1,-0.04970852196235425,-0.054202434799466834,-0.0678515745049797,-0.06255050007703929,-0.03686654384766921,-0.07659523375540797,-0.022821810169300523,-0.06255050007703929,-0.03686654384766921
31,R15,Lille Bane,'24-R15,Lille bane 1,-0.05704063173076183,-0.06326306378737209,-0.09829066597224045,-0.07057323164916443,-0.043508031812359224,-0.0920587952742859,-0.02202246818723775,-0.07057323164916443,-0.043508031812359224
32,R16,Lille Bane,'24-R16,Lille bane 1,-0.0770364029155215,,,-0.09712564389336965,-0.05694716193767334,-0.14668520758099476,-0.007387598250048227,-0.09712564389336965,-0.05694716193767334
33,R17,Lille Bane,'24-R17,Lille bane 1,-0.06687679827324686,-0.06992314462851033,-0.09168568786030562,-0.08224583840347784,-0.05150775814301588,-0.11100967746934819,-0.022743919077145527,-0.08224583840347784,-0.05150775814301588
