x_pos,race_local,race_display,group,series,prior_pct,post_pct,obs_pct,proc_q25_pct,proc_q75_pct,total_q25_pct,total_q75_pct,q25_pct,q75_pct
1,R1,'23-R1,Lille Bane,Lille bane 1,0.0,,,-2.186992526583653,2.235891302266757,-2.816662809212467,2.8982980937183545,-2.186992526583653,2.235891302266757
2,R2,'23-R2,Lille Bane,Lille bane 1,-1.1102230246251565e-14,,,-2.1514178006673323,2.198721486106492,-2.221525628281251,2.271998660805208,-2.1514178006673323,2.198721486106492
3,R3,'23-R3,Lille Bane,Lille bane 1,2.6645352591003757e-13,-0.31721804376914076,-0.17092710642251374,-2.098963746379634,2.14396479005865,-2.9600426644695643,3.0503338477729347,-2.098963746379634,2.14396479005865
4,R4,'23-R4,Lille Bane,Lille bane 1,-0.3168376505963466,-0.26299086768419855,1.5975670420143917,-1.8367101338735092,1.2265671772932807,-3.6321208091368407,3.112499096272403,-1.8367101338735092,1.2265671772932807
5,R5,'23-R5,Lille Bane,Lille bane 1,-0.2713148751013139,0.03044594336247819,0.34804564387982406,-1.6376985489280127,1.1140496919797904,-2.225461838729126,1.721888170276098,-1.6376985489280127,1.1140496919797904
6,R6,'23-R6,Lille Bane,Lille bane 1,0.04842922899528368,-0.6544298036006313,-8.464192500916623,-1.0567193597575075,1.1659217929560706,-3.8579739254583467,4.113555745418562,-1.0567193597575075,1.1659217929560706
7,R8,'23-R8,Lille Bane,Lille bane 1,-0.632201359831841,-0.9875883095430638,-2.6292809297322584,-1.7456018857363365,0.49381601330671376,-3.4299864927248347,2.2466400074505843,-1.7456018857363365,0.49381601330671376
8,R9,'23-R9,Lille Bane,Lille bane 1,-1.012603197479045,-1.5606852015621953,-6.2672639170816,-2.1345430831838708,0.12219872501375573,-4.581477141063517,2.6897549045641123,-2.1345430831838708,0.12219872501375573
9,R10,'23-R10,Lille Bane,Lille bane 1,-1.5179531592008466,-1.707264964449584,-2.3417517986871417,-2.805396981886721,-0.2134558011837706,-4.435527237478476,1.4886941725167802,-2.805396981886721,-0.2134558011837706
10,R11,'23-R11,Lille Bane,Lille bane 1,-1.6773442665686922,-2.217622998726221,-3.9685077676776537,-2.8728897642726903,-0.46708270211863745,-4.137703319401775,0.8461612669816931,-2.8728897642726903,-0.46708270211863745
11,R12,'23-R12,Lille Bane,Lille bane 1,-2.0233821335796986,,,-3.0611713120307193,-0.9744827901567388,-3.0611920190266706,-0.9744616374210424,-3.0611713120307193,-0.9744827901567388
12,R13,'23-R13,Lille Bane,Lille bane 1,-2.461663037228279,-3.1403784168165916,-3.7816096624395223,-3.5073884100530583,-1.4046047598696432,-4.075772014287904,-0.8203935831490927,-3.5073884100530583,-1.4046047598696432
13,R14,'23-R14,Lille Bane,Lille bane 1,-4.065166419799027,-4.593860982798603,-15.24656598125189,-6.103370008375741,-1.9827197751205339,-13.46259317707348,6.352762717897353,-6.103370008375741,-1.9827197751205339
14,R15,'23-R15,Lille Bane,Lille bane 1,-3.702809694140452,,,-4.855863719218179,-2.535781780216606,-7.673526131745545,0.43867671189607993,-4.855863719218179,-2.535781780216606
15,R16,'23-R16,Lille Bane,Lille bane 1,-3.329839842683413,,,-4.275065774029219,-2.3752803759477636,-4.882589158062767,-1.751742587162819,-4.275065774029219,-2.3752803759477636
16,R17,'23-R17,Lille Bane,Lille bane 1,-3.3672307191210837,-4.107789888406499,-7.042238336438766,-4.3720861250251986,-2.3518163211208476,-5.5056074278569405,-1.180463255928843,-4.3720861250251986,-2.3518163211208476
17,R1,'24-R1,Lille Bane,Lille bane 1,-3.855797523286686,-4.110713635024277,-4.068573390176377,-5.206754596468177,-2.4855871266662777,-5.542135480611943,-2.139353701078872,-5.206754596468177,-2.4855871266662777
18,R2,'24-R2,Lille Bane,Lille bane 1,-4.391506729818051,-4.739572608132447,-6.256541726471331,-5.443681404117329,-3.327623990297157,-6.883133831262544,-1.8332085099383444,-5.443681404117329,-3.327623990297157
19,R3,'24-R3,Lille Bane,Lille bane 1,-4.959695860862679,-5.087561841685362,-5.1989117164983,-6.131611026239236,-3.7731497300476646,-8.222616357267853,-1.5807702034550286,-6.131611026239236,-3.7731497300476646
20,R4,'24-R4,Lille Bane,Lille bane 1,-4.797834201479678,-5.390126560856812,-7.631307241608621,-5.811744547012987,-3.7730093933752817,-7.041558666653125,-2.4999532831277205,-5.811744547012987,-3.7730093933752817
21,R5,'24-R5,Lille Bane,Lille bane 1,-5.427607961105851,,,-6.429820654351581,-4.414660755117628,-7.750138572720234,-3.046604107814699,-6.429820654351581,-4.414660755117628
22,R6,'24-R6,Lille Bane,Lille bane 1,-5.935955612955546,-5.287534272196126,-0.39695625694331493,-7.194590289495373,-4.660251228368195,-9.56881919364385,-2.15715013835176,-7.194590289495373,-4.660251228368195
23,R7,'24-R7,Lille Bane,Lille bane 1,-4.754926979640728,-4.51439501893206,-4.020439991595048,-5.735481265070397,-3.764172814982081,-6.453465109118383,-3.025548244675602,-5.735481265070397,-3.764172814982081
24,R8,'24-R8,Lille Bane,Lille bane 1,-4.603230637177081,-4.12898717321597,-2.512055980598049,-5.5418717505621995,-3.6552621407909824,-6.607276595523947,-2.556181326355167,-5.5418717505621995,-3.6552621407909824
25,R9,'24-R9,Lille Bane,Lille bane 1,-4.680920153183377,-4.788103917277398,-6.045849473094867,-6.166781090464335,-3.1715304192715954,-9.762059239569886,0.6863289019994001,-6.166781090464335,-3.1715304192715954
26,R10,'24-R10,Lille Bane,Lille bane 1,-4.884699667092374,-5.516535597969607,-11.135161890292567,-6.692529424109461,-3.041843256687471,-10.512790366779445,1.0973567563415054,-6.692529424109461,-3.041843256687471
27,R11,'24-R11,Lille Bane,Lille bane 1,-5.404576540626338,,,-7.1046771278779675,-3.6733619864126488,-10.594101675113487,0.08617224494040787,-7.1046771278779675,-3.6733619864126488
28,R12,'24-R12,Lille Bane,Lille bane 1,-4.779648130022085,-4.910521780501287,-5.365846543965846,-6.107805308559088,-3.432703431428752,-7.808383882374093,-1.6514104853735945,-6.107805308559088,-3.432703431428752
