x_pos,race_local,group,race_display,series,x_prior,x_post,x_obs,x_proc_q25,x_proc_q75,x_total_q25,x_total_q75,x_q25,x_q75
1,R1,Stor Bane,'23-R1,Stor bane 1,-0.022839369331787665,-0.03197003624581843,-0.0305064026195776,-0.032565385889078174,-0.013113352774497154,-0.032565619762293774,-0.013113118901281553,-0.032565385889078174,-0.013113352774497154
2,R2,Stor Bane,'23-R2,Stor bane 1,-0.024016028731580638,-0.024885728990853475,-0.03168894959200941,-0.0314627832533524,-0.016569274209808874,-0.045965076958805424,-0.0020669805043558517,-0.0314627832533524,-0.016569274209808874
3,R3,Stor Bane,'23-R3,Stor bane 1,-0.02741945757531531,-0.03131470385687371,-0.058026317687643214,-0.032472592105605456,-0.022366323045025165,-0.041663015145525374,-0.013175900005105249,-0.032472592105605456,-0.022366323045025165
4,R4,Stor Bane,'23-R4,Stor bane 1,-0.03059673287042617,-0.028229193773115578,-0.009269582735408122,-0.03722964332573813,-0.02396382241511421,-0.05080855596921126,-0.010384909771641082,-0.03722964332573813,-0.02396382241511421
5,R5,Stor Bane,'23-R5,Stor bane 1,-0.030078005741216843,-0.030697892592079078,-0.03427585376545217,-0.03463241789673797,-0.02552359358569572,-0.041814200857318885,-0.0183418106251148,-0.03463241789673797,-0.02552359358569572
6,R6,Stor Bane,'23-R6,Stor bane 1,-0.024396925510622613,-0.02575482738431558,-0.04096973533314596,-0.03743422463370439,-0.011359626387540837,-0.06972948314276634,0.020935632121521115,-0.03743422463370439,-0.011359626387540837
7,R8,Stor Bane,'23-R8,Stor bane 1,-0.0321830980185781,-0.03212268348601337,-0.03181266846669395,-0.036484449893456686,-0.027881746143699506,-0.03821721724328642,-0.026148978793869782,-0.036484449893456686,-0.027881746143699506
8,R9,Stor Bane,'23-R9,Stor bane 1,-0.028948091675572718,-0.027861113361619318,-0.017028514245282622,-0.03607507161519359,-0.021821111735951845,-0.052977189112096826,-0.004918994239048614,-0.03607507161519359,-0.021821111735951845
9,R10,Stor Bane,'23-R10,Stor bane 1,-0.03255634470093794,,,-0.03775618787582067,-0.02735650152605521,-0.03775662530948261,-0.027356064092393273,-0.03775618787582067,-0.02735650152605521
10,R11,Stor Bane,'23-R11,Stor bane 1,-0.025071418930385246,,,-0.03636285440037725,-0.013779983460393242,-0.06442449873345127,0.01428166087268077,-0.03636285440037725,-0.013779983460393242
11,R12,Stor Bane,'23-R12,Stor bane 1,-0.028109044614552443,,,-0.03648002566155499,-0.019738063567549893,-0.053130881633533085,-0.0030872075955718017,-0.03648002566155499,-0.019738063567549893
12,R13,Stor Bane,'23-R13,Stor bane 1,-0.031507260341212096,,,-0.03768667520834813,-0.025327845474076058,-0.04144874289286028,-0.02156577778956391,-0.03768667520834813,-0.025327845474076058
13,R14,Stor Bane,'23-R14,Stor bane 1,-0.014512513935767364,,,-0.039318603887337655,0.010293576015802927,-0.10919727658183531,0.0801722487103006,-0.039318603887337655,0.010293576015802927
