x_pos,race_local,race_display,group,series,prior_pct,post_pct,obs_pct,proc_q25_pct,proc_q75_pct,total_q25_pct,total_q75_pct,q25_pct,q75_pct
1,R1,'23-R1,Stor Bane,Stor bane 1,0.0,-1.4465816422762123,-2.8456558777354535,-1.575909198873282,1.6011417388223759,-2.2493433400826657,2.301103048246844,-1.575909198873282,1.6011417388223759
2,R2,'23-R2,Stor Bane,Stor bane 1,-1.4467643600767022,-2.009149119863096,-3.5243061408531617,-2.5775506958733208,-0.30285294123857387,-3.6832439809464823,0.8416464231504994,-2.5775506958733208,-0.30285294123857387
3,R3,'23-R3,Stor Bane,Stor bane 1,-2.007051752396183,-3.224836426700195,-5.594892589930112,-3.0057165195622293,-0.9981046131006588,-3.780368130616163,-0.20105336411060382,-3.0057165195622293,-0.9981046131006588
4,R4,'23-R4,Stor Bane,Stor bane 1,-3.2396491827633156,-3.020391007951828,-1.3763945994611948,-4.0999254678838915,-2.3716557473657307,-5.506242563329378,-0.9186877074977784,-4.0999254678838915,-2.3716557473657307
5,R5,'23-R5,Stor Bane,Stor bane 1,-2.995665645671597,-3.513879662117747,-3.5139174042175814,-3.7852270700947543,-2.1996248914745165,-3.7852538486260245,-2.1995976716302823,-3.7852270700947543,-2.1996248914745165
6,R6,'23-R6,Stor Bane,Stor bane 1,-3.568911294282706,-3.593452946781517,-4.588863520575215,-4.299204357350595,-2.833045362625952,-8.202403042412353,1.298456355739086,-4.299204357350595,-2.833045362625952
7,R8,'23-R8,Stor Bane,Stor bane 1,-3.529275429041301,-3.5218932452064866,-3.4761533386941212,-3.8791069313825033,-3.1781707167233497,-4.427374978957044,-2.622736403895265,-3.8791069313825033,-3.1781707167233497
8,R9,'23-R9,Stor Bane,Stor bane 1,-3.5441598053074896,-3.4689741701104615,-2.163941938098235,-4.100784793299017,-2.984304015305861,-5.9067633711102125,-1.122233212588808,-4.100784793299017,-2.984304015305861
9,R10,'23-R10,Stor Bane,Stor bane 1,-3.479696936674026,,,-4.045280757643576,-2.9107794072525284,-4.045920673905334,-2.9101319207513243,-4.045280757643576,-2.9107794072525284
10,R11,'23-R11,Stor Bane,Stor bane 1,-3.4634963411702024,,,-4.619074874383234,-2.2939175060659567,-7.469485575403145,0.7159270282189434,-4.619074874383234,-2.2939175060659567
11,R12,'23-R12,Stor Bane,Stor bane 1,-3.4927109985034455,,,-4.320670219847022,-2.6575870481239994,-5.743088879783642,-1.1886054854945094,-4.320670219847022,-2.6575870481239994
12,R13,'23-R13,Stor Bane,Stor bane 1,-3.4845668517840545,,,-4.164266844555764,-2.800046192806094,-4.5890367773498975,-2.3673116678445627,-4.164266844555764,-2.800046192806094
13,R14,'23-R14,Stor Bane,Stor bane 1,-3.4821661573020357,,,-6.014161759618208,-0.8819581322403014,-12.244446231915852,6.155016402787261,-6.014161759618208,-0.8819581322403014
14,R15,'23-R15,Stor Bane,Stor bane 1,-3.522414589979783,,,-4.518712500866339,-2.5157208250653373,-6.204336066080129,-0.7638083024255171,-4.518712500866339,-2.5157208250653373
