x_pos,race_local,group,race_display,series,x_prior,x_post,x_obs,x_proc_q25,x_proc_q75,x_total_q25,x_total_q75,x_q25,x_q75
1,R17,Lille Bane,'24-R17,,,,,,,,,,
2,R18,Lille Bane,'24-R18,,,,,,,,,,
3,R19,Lille Bane,'24-R19,,,,,,,,,,
4,R20,Lille Bane,'24-R20,,,,,,,,,,
5,R21,Lille Bane,'24-R21,,,,,,,,,,
6,R22,Lille Bane,'24-R22,,,,,,,,,,
7,R23,Lille Bane,'24-R23,,,,,,,,,,
8,R24,Lille Bane,'24-R24,,,,,,,,,,
9,R25,Lille Bane,'24-R25,,,,,,,,,,
10,R26,Lille Bane,'24-R26,,,,,,,,,,
11,R27,Lille Bane,'24-R27,,,,,,,,,,
12,R28,Lille Bane,'24-R28,,,,,,,,,,
13,R29,Lille Bane,'24-R29,,,,,,,,,,
14,R30,Lille Bane,'24-R30,,,,,,,,,,
15,R31,Lille Bane,'24-R31,,,,,,,,,,
16,R32,Lille Bane,'24-R32,,,,,,,,,,
17,R17,Lille Bane,'24-R17,Lille bane 3,-1.3877787807814457e-17,,,-0.018626984769650797,0.01862698476965077,-0.04727870070492109,0.04727870070492106,-0.018626984769650797,0.01862698476965077
18,R18,Lille Bane,'24-R18,Lille bane 3,0.010633924263757056,,,-0.00665223953760437,0.027920088065118483,-0.008886494029290029,0.030154342556804138,-0.00665223953760437,0.027920088065118483
19,R1,Stor Bane,'25-R1,Stor bane 2,0.0033260517645995417,0.08843059950615424,0.10322476416901727,-0.017124762321628226,0.023776865850827306,-0.01885792920488024,0.025510032734079327,-0.017124762321628226,0.023776865850827306
20,R2,Stor Bane,'25-R2,Stor bane 2,0.08843059950615424,,,0.08022414932329562,0.09663704968901286,0.040595672925077875,0.1362655260872306,0.08022414932329562,0.09663704968901286
21,R3,Stor Bane,'25-R3,Stor bane 2,0.08846200547105658,0.09198673586654024,0.11082576911159085,0.07993400932336317,0.09699000161874999,0.06797823892473762,0.10894577201737554,0.07993400932336317,0.09699000161874999
22,R4,Stor Bane,'25-R4,Stor bane 2,0.09198673586654024,0.08291891786217227,0.041176485744709196,0.08389231867132305,0.10008115306175744,0.07275018189991214,0.11122328983316834,0.08389231867132305,0.10008115306175744
23,R5,Stor Bane,'25-R5,Stor bane 2,0.08291891786217227,0.08158317206365392,0.07801931553216242,0.07521502482788585,0.0906228108964587,0.06800854074690958,0.09782929497743496,0.07521502482788585,0.0906228108964587
24,R6,Stor Bane,'25-R6,Stor bane 2,0.08158317206365392,0.07739143236608494,0.007156752261678639,0.07458603494340703,0.08858030918390082,0.051407910729655615,0.11175843339765223,0.07458603494340703,0.08858030918390082
25,R7,Stor Bane,'25-R7,Stor bane 2,0.07739143236608494,0.06725983443476642,0.007575901365967988,0.07019911715997712,0.08458374757219275,0.05837760311246533,0.09640526161970454,0.07019911715997712,0.08458374757219275
26,R8,Stor Bane,'25-R8,Stor bane 2,0.06725983443476642,0.055838698327197685,0.022984466076895263,0.06020611094936735,0.07431355792016549,0.0532901117269811,0.08122955714255174,0.06020611094936735,0.07431355792016549
27,R9,Stor Bane,'25-R9,Stor bane 2,0.055838698327197685,0.048921901396599625,0.0434003357886621,0.04931596744374762,0.06236142921064775,0.04706245850051662,0.06461493815387875,0.04931596744374762,0.06236142921064775
28,R10,Stor Bane,'25-R10,Stor bane 2,0.048921901396599625,,,0.04165491837439787,0.05618888441880138,0.025278623407723237,0.07256517938547602,0.04165491837439787,0.05618888441880138
29,R11,Stor Bane,'25-R11,Stor bane 2,0.04894957428946971,0.05094424136851209,0.19469408382102854,0.04140348018298459,0.05649566839595482,-0.016600206550107785,0.1144993551290472,0.04140348018298459,0.05649566839595482
30,R12,Stor Bane,'25-R12,Stor bane 2,0.05094424136851209,0.05964350892067091,0.1145559195613596,0.043096829429173006,0.058791653307851174,0.029480170504087813,0.07240831223293637,0.043096829429173006,0.058791653307851174
31,R13,Stor Bane,'25-R13,Stor bane 2,0.05964350892067091,,,0.05197880371835009,0.06730821412299173,-0.02556548582022919,0.144852503661571,0.05197880371835009,0.06730821412299173
32,R14,Stor Bane,'25-R14,Stor bane 2,0.05964743313347049,0.05089583711413701,0.00020330706971811302,0.05163884012022321,0.06765602614671777,0.038482944124946496,0.08081192214199448,0.05163884012022321,0.06765602614671777
33,R15,Stor Bane,'25-R15,Stor bane 2,0.05089583711413701,0.044631133109948304,0.009054177476947901,0.04312664703860362,0.058665027189670406,0.030539368664477394,0.07125230556379664,0.04312664703860362,0.058665027189670406
34,R16,Stor Bane,'25-R16,Stor bane 2,0.044631133109948304,0.03453951623574713,0.007301031101147923,0.03708349245991821,0.0521787737599784,0.0300093911958038,0.05925287502409281,0.03708349245991821,0.0521787737599784
35,R17,Stor Bane,'25-R17,Stor bane 2,0.03453951623574713,0.03074102059927125,0.019457323953878884,0.02766696754193905,0.04141206492955521,0.020660083122868947,0.04841894934862531,0.02766696754193905,0.04141206492955521
36,R1,Stor Bane,'26-R1,Stor bane 2,0.03074102059927125,0.03604088169941231,0.13285733445054565,0.01623976605804884,0.045242275140493664,-0.03329412949930645,0.09477617069784895,0.01623976605804884,0.045242275140493664
37,R2,Stor Bane,'26-R2,Stor bane 2,0.03604088169941231,0.04277582744534666,0.0769325274866158,0.021966514197677776,0.05011524920114684,0.0015051618174311762,0.07057660158139345,0.021966514197677776,0.05011524920114684
38,R3,Stor Bane,'26-R3,Stor bane 2,0.04277582744534666,,,0.0297310180261085,0.05582063686458481,0.0003063205918236375,0.08524533429886968,0.0297310180261085,0.05582063686458481
