x_pos,race_local,race_display,group,series,prior_pct,post_pct,obs_pct,proc_q25_pct,proc_q75_pct,total_q25_pct,total_q75_pct,q25_pct,q75_pct
1,R17,'24-R17,Lille Bane,,,,,,,,,,
2,R18,'24-R18,Lille Bane,,,,,,,,,,
3,R19,'24-R19,Lille Bane,,,,,,,,,,
4,R20,'24-R20,Lille Bane,,,,,,,,,,
5,R21,'24-R21,Lille Bane,,,,,,,,,,
6,R22,'24-R22,Lille Bane,,,,,,,,,,
7,R23,'24-R23,Lille Bane,,,,,,,,,,
8,R24,'24-R24,Lille Bane,,,,,,,,,,
9,R25,'24-R25,Lille Bane,,,,,,,,,,
10,R26,'24-R26,Lille Bane,,,,,,,,,,
11,R27,'24-R27,Lille Bane,,,,,,,,,,
12,R28,'24-R28,Lille Bane,,,,,,,,,,
13,R29,'24-R29,Lille Bane,,,,,,,,,,
14,R30,'24-R30,Lille Bane,,,,,,,,,,
15,R31,'24-R31,Lille Bane,,,,,,,,,,
16,R32,'24-R32,Lille Bane,,,,,,,,,,
17,R17,'24-R17,Lille Bane,Lille bane 3,0.0,,,-1.8454574642059018,1.8801549235817783,-4.617847018940391,4.84141621321692,-1.8454574642059018,1.8801549235817783
18,R18,'24-R18,Lille Bane,Lille bane 3,1.0690665384952336,,,-0.6630162373492121,2.831350661599652,-0.8847125842582848,3.061358921513979,-0.6630162373492121,2.831350661599652
19,R1,'25-R1,Stor Bane,Stor bane 2,0.3331589212347108,9.24584328248006,10.874058622842986,-1.6978967002368894,2.4061789239254505,-1.8681230922459657,2.583819818066724,-1.6978967002368894,2.4061789239254505
20,R2,'25-R2,Stor Bane,Stor bane 2,9.24584328248006,,,8.352991295389845,10.146052562260754,4.143094168085737,14.598614241649098,8.352991295389845,10.146052562260754
21,R3,'25-R3,Stor Bane,Stor bane 2,9.249274307476952,9.635027984794164,11.720023910619304,8.321558318705158,10.184935685598596,7.034201643216931,11.510187897652502,8.321558318705158,10.184935685598596
22,R4,'25-R4,Stor Bane,Stor bane 2,9.635027984794164,8.645371298709815,4.203599381655554,8.75117827898817,10.526060971874118,7.546183352064806,11.76444376345993,8.75117827898817,10.526060971874118
23,R5,'25-R5,Stor Bane,Stor bane 2,8.645371298709815,8.500345580778923,8.114354133124735,7.811594765879404,9.485595962728821,7.037445023701361,10.27745198907537,7.811594765879404,9.485595962728821
24,R6,'25-R6,Stor Bane,Stor bane 2,8.500345580778923,8.0464922570475,0.7182423016349526,7.743803685529049,9.262199666796999,5.275223464295675,11.824269792607577,7.743803685529049,9.262199666796999
25,R7,'25-R7,Stor Bane,Stor bane 2,8.0464922570475,6.957335406006848,0.7604671113086603,7.2721757299942125,8.826397988197598,6.011522294976412,10.12052498000422,7.2721757299942125,8.826397988197598
26,R8,'25-R8,Stor Bane,Stor bane 2,6.957335406006848,5.7427105218742724,2.3250644326934466,6.205542523991392,7.714449973915682,5.473559190191035,8.461985022469442,6.205542523991392,7.714449973915682
27,R9,'25-R9,Stor Bane,Stor bane 2,5.7427105218742724,5.013833320014194,4.435590421753388,5.0552238609743005,6.4346961300092875,4.818747525313949,6.6748181265239515,5.0552238609743005,6.4346961300092875
28,R10,'25-R10,Stor Bane,Stor bane 2,5.013833320014194,,,4.253465711619242,5.779746632774496,2.560083711911676,7.526288878047271,4.253465711619242,5.779746632774496
29,R11,'25-R11,Stor Bane,Stor bane 2,5.016739396783132,5.226421883460963,21.493926005794563,4.227255703988697,5.81220314246278,-1.6463182378910424,12.13119179622446,4.227255703988697,5.81220314246278
30,R12,'25-R12,Stor Bane,Stor bane 2,5.226421883460963,6.145807875301457,12.137534612820144,4.403898365516978,6.0554254749286995,2.991901249455564,7.509422858184656,4.403898365516978,6.0554254749286995
31,R13,'25-R13,Stor Bane,Stor bane 2,6.145807875301457,,,5.335341510107305,6.962510093721086,-2.5241455987158323,15.586907123862836,5.335341510107305,6.962510093721086
32,R14,'25-R14,Stor Bane,Stor bane 2,6.146224414856638,5.2213286002384285,0.020332773800113557,5.299537414786992,6.999719411368521,3.923300317857148,8.416696958892622,5.299537414786992,6.999719411368521
33,R15,'25-R15,Stor Bane,Stor bane 2,5.2213286002384285,4.5642086019106465,0.9095290529787636,4.407011486594148,6.041996938308469,3.101047875542484,7.385213055877471,4.407011486594148,6.041996938308469
34,R16,'25-R16,Stor Bane,Stor bane 2,4.5642086019106465,3.514293252007361,0.7327748610927998,3.777966399808186,5.356407528950169,3.0464211199252578,6.104351822362619,3.777966399808186,5.356407528950169
35,R17,'25-R17,Stor Bane,Stor bane 2,3.514293252007361,3.1218404976916414,1.964785139339753,2.8053252302453036,4.228150472405323,2.0874980017971057,4.9610296774434515,2.8053252302453036,4.228150472405323
36,R1,'26-R1,Stor Bane,Stor bane 2,3.1218404976916414,3.669822760993413,14.20870502310847,1.6372347785281738,4.628131715739214,-3.2745980195236113,9.941274679611123,1.6372347785281738,4.628131715739214
37,R2,'26-R2,Stor Bane,Stor bane 2,3.669822760993413,4.370389885454462,7.996920569755761,2.220955439026029,5.139226151202858,0.15062951420203863,7.312676948992403,2.220955439026029,5.139226151202858
38,R3,'26-R3,Stor Bane,Stor bane 2,4.370389885454462,,,3.0177397532990202,5.740800671109003,0.030636751276702512,8.89841991036555,3.0177397532990202,5.740800671109003
