x_pos,race_local,group,race_display,series,x_prior,x_post,x_obs,x_proc_q25,x_proc_q75,x_total_q25,x_total_q75,x_q25,x_q75
1,R1,Lille Bane,'23-R1,Lille bane 2,0.0,0.013254060057531077,0.021535645358428113,-0.022112617040456976,0.022112617040456976,-0.02857091729548811,0.02857091729548811,-0.022112617040456976,0.022112617040456976
2,R2,Lille Bane,'23-R2,Lille bane 2,0.013247495681360223,0.032916544256517195,0.03587309626172086,-0.0009459229868165279,0.027440914349536973,-0.0020215587159416563,0.028516550078662103,-0.0009459229868165279,0.027440914349536973
3,R3,Lille Bane,'23-R3,Lille bane 2,0.03295259810655931,0.03633564788984808,0.07532476360721496,0.026532400544333375,0.039372795668785245,0.010724928897934555,0.055180267315184064,0.026532400544333375,0.039372795668785245
4,R4,Lille Bane,'23-R4,Lille bane 2,0.03645746536528066,0.03345207323958613,-0.01182125852119853,0.02949056450145302,0.04342436622910831,0.00552976122837209,0.06738516950218923,0.02949056450145302,0.04342436622910831
5,R5,Lille Bane,'23-R5,Lille bane 2,0.03341981768479351,0.03900248923380333,0.060665773179835014,0.026340291799668562,0.04049934356991846,0.017563968236610134,0.04927566713297689,0.026340291799668562,0.04049934356991846
6,R6,Lille Bane,'23-R6,Lille bane 2,0.03941808905156581,0.04265287354756716,0.11294585114186795,0.03135065606061,0.04748552204252162,0.0003289555834943697,0.07850722251963725,0.03135065606061,0.04748552204252162
7,R8,Lille Bane,'23-R8,Lille bane 2,0.04217760070031994,0.03832823186598428,0.004967419374629856,0.03355727354059711,0.050797927860042766,0.01455507209252346,0.06980012930811641,0.03355727354059711,0.050797927860042766
8,R9,Lille Bane,'23-R9,Lille bane 2,0.038489857158241846,0.03876741532795985,0.04263727571675879,0.029074875805850393,0.0479048385106333,0.0023366806810253896,0.0746430336354583,0.029074875805850393,0.0479048385106333
9,R10,Lille Bane,'23-R10,Lille bane 2,0.03860459858446197,,,0.02689217150498583,0.05031702566393811,0.009135746801240966,0.06807345036768297,0.02689217150498583,0.05031702566393811
10,R11,Lille Bane,'23-R11,Lille bane 2,0.03844618925733523,0.026530895227748923,-0.013778256849214188,0.026662531287523814,0.05022984722714664,0.013318748827204248,0.06357362968746622,0.026662531287523814,0.05022984722714664
11,R12,Lille Bane,'23-R12,Lille bane 2,0.027430114977064532,0.02069869221215975,0.02069847924675905,0.017115479113218854,0.03774475084091021,0.017115258586015612,0.03774497136811345,0.017115479113218854,0.03774475084091021
12,R13,Lille Bane,'23-R13,Lille bane 2,0.020182452271520095,0.019966872024246133,0.017690039486328857,0.016356585017637457,0.024008319525402732,0.006881993783639873,0.03348291075940032,0.016356585017637457,0.024008319525402732
13,R14,Lille Bane,'23-R14,Lille bane 2,0.015786297137376955,0.015712507939193973,0.0138958164975298,-0.004365513187982319,0.03593810746273623,-0.08703866434538207,0.118611258620136,-0.004365513187982319,0.03593810746273623
14,R15,Lille Bane,'23-R15,Lille bane 2,0.018624458306564947,0.018506592660544528,0.016317230575211283,0.0091932366289479,0.028055679984181993,-0.022811511024817713,0.06006042763794761,0.0091932366289479,0.028055679984181993
15,R16,Lille Bane,'23-R16,Lille bane 2,0.019886508615500162,0.026929153549711916,0.05430070013860977,0.013558109600582161,0.026214907630418165,0.005544125593849975,0.03422889163715035,0.013558109600582161,0.026214907630418165
16,R17,Lille Bane,'23-R17,Lille bane 2,0.027168992114602625,,,0.020309186135037537,0.034028798094167714,0.006227708000343373,0.04811027622886188,0.020309186135037537,0.034028798094167714
