x_pos,race_local,group,race_display,series,x_prior,x_post,x_obs,x_proc_q25,x_proc_q75,x_total_q25,x_total_q75,x_q25,x_q75
1,R1,Lille Bane,'23-R1,Lille bane 1,0.0,-0.03081999882455341,-0.035635688294702206,-0.025449306113718782,0.025449306113718782,-0.027497182817307644,0.027497182817307644,-0.025449306113718782,0.025449306113718782
2,R2,Lille Bane,'23-R2,Lille bane 1,-0.03081999882455341,-0.035968923222544025,-0.049543665390752584,-0.04107125665893274,-0.020568740990174073,-0.05050262422791567,-0.01113737342119115,-0.04107125665893274,-0.020568740990174073
3,R3,Lille Bane,'23-R3,Lille bane 1,-0.035968923222544025,-0.04312124681515062,-0.07698027781286126,-0.045618295764487164,-0.026319550680600885,-0.060009054032614764,-0.011928792412473289,-0.045618295764487164,-0.026319550680600885
4,R4,Lille Bane,'23-R4,Lille bane 1,-0.04312124681515062,-0.04665825106087749,-0.05693967971258641,-0.05242044895932877,-0.033822044670972475,-0.06618990103466518,-0.020052592595636066,-0.05242044895932877,-0.033822044670972475
5,R5,Lille Bane,'23-R5,Lille bane 1,-0.04665825106087749,-0.05653918560249136,-0.05695311633933262,-0.05586001353697144,-0.03745648858478354,-0.05605529954869781,-0.037261202573057164,-0.05586001353697144,-0.03745648858478354
6,R6,Lille Bane,'23-R6,Lille bane 1,-0.05653918560249136,,,-0.060636252908187985,-0.05244211829679474,-0.09434048725327787,-0.018737883951704858,-0.060636252908187985,-0.05244211829679474
7,R8,Lille Bane,'23-R8,Lille bane 1,-0.05654770835529715,-0.05504440125292642,-0.03692536476638158,-0.06306759825246289,-0.0500278184581314,-0.08027207705930392,-0.032823339651290376,-0.06306759825246289,-0.0500278184581314
8,R9,Lille Bane,'23-R9,Lille bane 1,-0.05504440125292642,-0.05508788218504631,-0.05634783530116916,-0.06218186417997783,-0.04790693832587502,-0.09561731339652846,-0.014471489109324394,-0.06218186417997783,-0.04790693832587502
9,R10,Lille Bane,'23-R10,Lille bane 1,-0.05508788218504631,-0.050983625658392345,-0.03106077458805697,-0.06641546947389924,-0.04376029489619338,-0.08277645584600417,-0.027399308524088447,-0.06641546947389924,-0.04376029489619338
10,R11,Lille Bane,'23-R11,Lille bane 1,-0.050983625658392345,-0.044298320289050085,-0.020736581444857155,-0.06175103816356922,-0.04021621315321547,-0.07471532397536354,-0.027251927341421154,-0.06175103816356922,-0.04021621315321547
11,R12,Lille Bane,'23-R12,Lille bane 1,-0.044298320289050085,-0.04630347824667186,-0.046345956547116006,-0.05449893540213897,-0.034097705175961196,-0.05467778606387241,-0.033918854514227756,-0.05449893540213897,-0.034097705175961196
12,R13,Lille Bane,'23-R13,Lille bane 1,-0.04630347824667186,-0.04394305981993841,-0.022390388274336204,-0.05040868704357773,-0.042198269449765985,-0.05937263189865012,-0.033234324594693596,-0.05040868704357773,-0.042198269449765985
13,R14,Lille Bane,'23-R14,Lille bane 1,-0.04394305981993841,-0.0439704270381384,-0.05301242378846594,-0.04920766700475816,-0.038678452635118654,-0.14487004513086618,0.05698392549098936,-0.04920766700475816,-0.038678452635118654
14,R15,Lille Bane,'23-R15,Lille bane 1,-0.0439704270381384,-0.044695345184882336,-0.07183955234981847,-0.05029993132959165,-0.03764092274668515,-0.0843900477206996,-0.0035508063555771963,-0.05029993132959165,-0.03764092274668515
15,R16,Lille Bane,'23-R16,Lille bane 1,-0.044695345184882336,-0.04880646843971907,-0.06150849271804577,-0.051871367036641504,-0.03751932333312317,-0.05946523238363566,-0.029925457986129014,-0.051871367036641504,-0.03751932333312317
16,R17,Lille Bane,'23-R17,Lille bane 1,-0.04880646843971907,-0.049570811679312,-0.05910338710666278,-0.0554644764504597,-0.04214846042897844,-0.0705905255984538,-0.027022411280984347,-0.0554644764504597,-0.04214846042897844
17,R1,Lille Bane,'24-R1,Lille bane 2,-0.049570811679312,-0.06693020907641066,-0.07540133525131644,-0.07101593911622012,-0.02812568424240389,-0.07477230028025199,-0.024369323078372016,-0.07101593911622012,-0.02812568424240389
18,R2,Lille Bane,'24-R2,Lille bane 2,-0.06693020907641066,-0.06249342686438984,-0.04730396251838985,-0.07862691658011757,-0.05523350157270376,-0.09277706873918182,-0.04108334941363951,-0.07862691658011757,-0.05523350157270376
19,R3,Lille Bane,'24-R3,Lille bane 2,-0.06249342686438984,-0.06449691294705215,-0.08361283828189135,-0.07352257348582195,-0.05146428024295774,-0.09669200694992271,-0.028294846778856977,-0.07352257348582195,-0.05146428024295774
20,R4,Lille Bane,'24-R4,Lille bane 2,-0.06449691294705215,-0.06638323900185507,-0.07470056767952546,-0.07553254347138098,-0.053461282422723314,-0.09002082771876765,-0.03897299817533665,-0.07553254347138098,-0.053461282422723314
21,R5,Lille Bane,'24-R5,Lille bane 2,-0.06638323900185507,-0.06904356895149734,-0.08146980604711575,-0.07695610737251514,-0.055810370631195,-0.09106097883022361,-0.041705499173486524,-0.07695610737251514,-0.055810370631195
22,R6,Lille Bane,'24-R6,Lille bane 2,-0.06904356895149734,,,-0.07924776865495725,-0.05883936924803743,-0.10797078484236716,-0.030116353060627515,-0.07924776865495725,-0.05883936924803743
23,R7,Lille Bane,'24-R7,Lille bane 2,-0.0685814798646965,-0.062454307226773934,-0.05184241947461839,-0.07938653510622702,-0.05777642462316597,-0.08639425182327012,-0.05076870790612287,-0.07938653510622702,-0.05777642462316597
24,R8,Lille Bane,'24-R8,Lille bane 2,-0.062454307226773934,-0.05994141248491742,-0.05298234131103409,-0.07176575536444922,-0.053142859089098646,-0.08114774026878513,-0.04376087418476273,-0.07176575536444922,-0.053142859089098646
25,R9,Lille Bane,'24-R9,Lille bane 2,-0.05994141248491742,-0.06260208751979052,-0.1577504351516799,-0.06877823831473283,-0.05110458665510201,-0.11401331867740791,-0.0058695062924269265,-0.06877823831473283,-0.05110458665510201
26,R10,Lille Bane,'24-R10,Lille bane 2,-0.06260208751979052,,,-0.0750633344141709,-0.05014084062541013,-0.12046691688207328,-0.004737258157507751,-0.0750633344141709,-0.05014084062541013
27,R11,Lille Bane,'24-R11,Lille bane 2,-0.06256310541126349,-0.06733256682460036,-0.14254492967679938,-0.07541058505993654,-0.049715625762590435,-0.11549200054044194,-0.00963421028208504,-0.07541058505993654,-0.049715625762590435
28,R12,Lille Bane,'24-R12,Lille bane 2,-0.06733256682460036,-0.04837316881980784,0.040712033108403836,-0.08029499467090573,-0.05437013897829498,-0.09866332831236202,-0.036001805336838694,-0.08029499467090573,-0.05437013897829498
29,R13,Lille Bane,'24-R13,Lille bane 2,-0.04837316881980784,-0.051086328029238,-0.07579607770198586,-0.06069828348314363,-0.036048054156472054,-0.08830994456444421,-0.008436393075171474,-0.06069828348314363,-0.036048054156472054
30,R14,Lille Bane,'24-R14,Lille bane 2,-0.051086328029238,-0.059352790367248505,-0.08445649214758859,-0.06333913247728548,-0.03883352358119052,-0.07616409747618536,-0.026008558582290647,-0.06333913247728548,-0.03883352358119052
31,R15,Lille Bane,'24-R15,Lille bane 2,-0.059352790367248505,-0.060246233692572516,-0.09931534999428038,-0.07062061509612103,-0.048084965638375984,-0.1289191118282657,0.010213531093768692,-0.07062061509612103,-0.048084965638375984
32,R16,Lille Bane,'24-R16,Lille bane 2,-0.060246233692572516,-0.060647647909035596,-0.0803050994629618,-0.07192479878616906,-0.04856766859897597,-0.13555590397433354,0.01506343658918851,-0.07192479878616906,-0.04856766859897597
33,R17,Lille Bane,'24-R17,Lille bane 2,-0.060647647909035596,,,-0.07272451856404148,-0.0485707772540297,-0.10574933062215003,-0.01554596519592117,-0.07272451856404148,-0.0485707772540297
34,R18,Lille Bane,'24-R18,Lille bane 2,-0.06077700544792657,-0.053764411347844536,-0.050076339113319594,-0.07306012528235968,-0.048493885613493465,-0.07604495567823166,-0.04550905521762148,-0.07306012528235968,-0.048493885613493465
35,R1,Lille Bane,'25-R1,Lille bane 1,-0.053764411347844536,,,-0.0752112091846085,-0.032317613511080576,-0.09260832775682432,-0.01492049493886475,-0.0752112091846085,-0.032317613511080576
36,R2,Lille Bane,'25-R2,Lille bane 1,-0.05227335451184413,,,-0.0736117911730472,-0.03093491785064106,-0.11254335546623623,0.007996646442547967,-0.0736117911730472,-0.03093491785064106
