x_pos,race_local,race_display,group,series,prior_pct,post_pct,obs_pct,proc_q25_pct,proc_q75_pct,total_q25_pct,total_q75_pct,q25_pct,q75_pct
1,R1,'23-R1,Lille Bane,Lille bane 1,-5.91681613134768,-4.4495952263367,-5.183122225907222,-6.637552922512158,-5.190515416588671,-6.851942350956297,-4.972302050428046,-6.637552922512158,-5.190515416588671
2,R2,'23-R2,Lille Bane,Lille bane 1,-4.2693472777138535,-4.565274615075044,-5.447324850308188,-5.219209269256931,-3.3099660808969755,-6.210107210018856,-2.288427910284263,-5.219209269256931,-3.3099660808969755
3,R3,'23-R3,Lille Bane,Lille bane 1,-4.558037557889982,-5.219734224300621,-7.652963416028302,-5.506221299891056,-3.60033940741713,-6.650131723954034,-2.41905679112141,-5.506221299891056,-3.60033940741713
4,R4,'23-R4,Lille Bane,Lille bane 1,-5.280703770042328,-5.459699356131464,-6.100613504609587,-6.26214457343951,-4.288987224297625,-7.62570576385685,-2.8761718561730265,-6.26214457343951,-4.288987224297625
5,R5,'23-R5,Lille Bane,Lille bane 1,-5.007862949465514,-5.595353297652538,-5.938781089383383,-5.499858873889785,-4.513305547494606,-5.639497757389133,-4.372000074489502,-5.499858873889785,-4.513305547494606
6,R6,'23-R6,Lille Bane,Lille bane 1,-6.791012511042116,,,-8.101883418660282,-5.461442824816032,-10.478778692991742,-2.9513312947109682,-8.101883418660282,-5.461442824816032
7,R8,'23-R8,Lille Bane,Lille bane 1,-6.221576055409606,-5.890105832570147,-3.8307755578007585,-7.031723362818731,-5.404368934874515,-8.376700802145297,-4.015759369891381,-7.031723362818731,-5.404368934874515
8,R9,'23-R9,Lille Bane,Lille bane 1,-6.333013482523297,-6.262588014280956,-5.713188035178196,-7.672725390874957,-4.973861728200035,-10.283954287438535,-2.208080019773395,-7.672725390874957,-4.973861728200035
9,R10,'23-R10,Lille Bane,Lille bane 1,-5.966998777858301,-5.663075559190589,-3.3492938951416473,-6.886640164993086,-5.038274480575811,-8.62986277502923,-3.2265290674555858,-6.886640164993086,-5.038274480575811
10,R11,'23-R11,Lille Bane,Lille bane 1,-5.602708771166243,-5.204827351218122,-2.4828048303010553,-6.377618410256192,-4.821385228279384,-7.8199597234460345,-3.3321252127101353,-6.377618410256192,-4.821385228279384
11,R12,'23-R12,Lille Bane,Lille bane 1,-5.186239130935554,-5.058472974427475,-4.7486583537509786,-5.673653938199585,-4.696305693360281,-6.092999211204209,-4.270723432488688,-5.673653938199585,-4.696305693360281
12,R13,'23-R13,Lille Bane,Lille bane 1,-5.045187315702748,-4.662786957554577,-2.334117980379957,-5.602615252221133,-4.484467700021422,-6.536595501689357,-3.529980527587673,-5.602615252221133,-4.484467700021422
13,R14,'23-R14,Lille Bane,Lille bane 1,-3.309217750386495,-3.4510041086787013,-5.208187506400918,-6.108246170190879,-0.42674685799742873,-13.339661367275157,7.882192933316623,-6.108246170190879,-0.42674685799742873
