x_pos,race_local,group,race_display,series,x_prior,x_post,x_obs,x_proc_q25,x_proc_q75,x_total_q25,x_total_q75,x_q25,x_q75
1,R1,Lille Bane,'23-R1,Lille bane 2,-0.05579298651361315,-0.0618520837411924,-0.08057005291876962,-0.06472440997472309,-0.04686156305250321,-0.06676631817592332,-0.04481965485130297,-0.06472440997472309,-0.04686156305250321
2,R2,Lille Bane,'23-R2,Lille bane 2,-0.05990214578045197,-0.04280614052514559,-0.004085486858867782,-0.07174885194819555,-0.048055439612708396,-0.08135902532705229,-0.03844526623385165,-0.07174885194819555,-0.048055439612708396
3,R3,Lille Bane,'23-R3,Lille bane 2,-0.04107149503552755,,,-0.052560777669232145,-0.02958221240182296,-0.06395280084568743,-0.01819018922536768,-0.052560777669232145,-0.02958221240182296
4,R4,Lille Bane,'23-R4,Lille bane 2,-0.03858957794819487,-0.05703693535753224,-0.11234838034241967,-0.05148125533147274,-0.025697900564916994,-0.06478432798778383,-0.012394827908605917,-0.05148125533147274,-0.025697900564916994
5,R5,Lille Bane,'23-R5,Lille bane 2,-0.06227457252931793,-0.0663198453057674,-0.06813935545915761,-0.068062583291094,-0.056486561767541854,-0.06941918333958967,-0.05512996171904619,-0.068062583291094,-0.056486561767541854
6,R6,Lille Bane,'23-R6,Lille bane 2,-0.05998138463684572,-0.04930197099897496,0.003222200432247746,-0.07703877005798762,-0.04292399921570381,-0.10145375593140113,-0.01850901334229032,-0.07703877005798762,-0.04292399921570381
7,R8,Lille Bane,'23-R8,Lille bane 2,-0.05674612955361265,-0.05703551649087698,-0.05841236745347267,-0.0662810344587736,-0.047211224648451684,-0.0803291491286599,-0.0331631099785654,-0.0662810344587736,-0.047211224648451684
8,R9,Lille Bane,'23-R9,Lille bane 2,-0.048507674262147985,-0.03210116476604353,0.07607423600773267,-0.06425015080790653,-0.032765197716389444,-0.09206873563213985,-0.004946612892156116,-0.06425015080790653,-0.032765197716389444
9,R10,Lille Bane,'23-R10,Lille bane 2,-0.04333506743632308,-0.04852171686324418,-0.08172973169645203,-0.053887701869836435,-0.032782433002809724,-0.07231803267155419,-0.014352102201091965,-0.053887701869836435,-0.032782433002809724
10,R11,Lille Bane,'23-R11,Lille bane 2,-0.05168032696902043,-0.0563880838722552,-0.08814964168548656,-0.060432035693972756,-0.04292861824406811,-0.07563028744152475,-0.02773036649651611,-0.060432035693972756,-0.04292861824406811
11,R12,Lille Bane,'23-R12,Lille bane 2,-0.06369060900623232,-0.0562747821976591,-0.039751764564316616,-0.06902404433401173,-0.0583571736784529,-0.07339763446170834,-0.05398358355075629,-0.06902404433401173,-0.0583571736784529
12,R13,Lille Bane,'23-R13,Lille bane 2,-0.05153925709435576,-0.04761035160476175,-0.02596425930857471,-0.057679887302255345,-0.04539862688645617,-0.06746619267829809,-0.03561232151041342,-0.057679887302255345,-0.04539862688645617
13,R14,Lille Bane,'23-R14,Lille bane 2,0.030075840004233106,0.06037339247031004,0.4066903513094964,-0.001047630601317042,0.06119931060978326,-0.07992763122208746,0.14007931123055367,-0.001047630601317042,0.06119931060978326
14,R15,Lille Bane,'23-R15,Lille bane 2,-0.014660335074622534,-0.012542383532325452,0.010407711114609697,-0.02654869943624799,-0.0027719707129970784,-0.055936109374429145,0.026615439225184077,-0.02654869943624799,-0.0027719707129970784
15,R16,Lille Bane,'23-R16,Lille bane 2,-0.0438164185720292,-0.043518301363347583,-0.043007161700508334,-0.04943947341770411,-0.03819336372635428,-0.058071992846725554,-0.02956084429733284,-0.04943947341770411,-0.03819336372635428
16,R17,Lille Bane,'23-R17,Lille bane 2,-0.027372868134611192,-0.02319139227265163,0.018997810454616015,-0.035533526588392136,-0.019212209680830247,-0.05530537212850436,0.0005596358592819747,-0.035533526588392136,-0.019212209680830247
