x_pos,race_local,race_display,group,series,prior_pct,post_pct,obs_pct,proc_q25_pct,proc_q75_pct,total_q25_pct,total_q75_pct,q25_pct,q75_pct
1,R1,'23-R1,Lille Bane,Lille bane 2,0.0,-5.301466467586547,-6.10405493302455,-2.5128202246830655,2.5775904385319848,-2.7122576676967824,2.78787193810357,-2.5128202246830655,2.5775904385319848
2,R2,'23-R2,Lille Bane,Lille bane 2,-5.301466467586547,-3.8092158221798567,0.2386789399604572,-6.267286657453308,-4.325694483880804,-7.14715861023274,-3.4190863848144737,-6.267286657453308,-4.325694483880804
3,R3,'23-R3,Lille Bane,Lille bane 2,-3.8092158221798567,,,-4.7329327222748185,-2.876542491117684,-6.094080593021123,-1.4687570370953917,-4.7329327222748185,-2.876542491117684
4,R4,'23-R4,Lille Bane,Lille bane 2,-3.8606969779706457,-5.21038854130258,-10.08826567987915,-4.821963278417051,-2.8897222097705177,-6.0824532826184825,-1.5863817932224022,-4.821963278417051,-2.8897222097705177
5,R5,'23-R5,Lille Bane,Lille bane 2,-5.21038854130258,-6.152046860255478,-6.187128925004004,-6.126969853556929,-4.284857679846887,-6.1443474879493865,-4.267135755758744,-6.126969853556929,-4.284857679846887
6,R6,'23-R6,Lille Bane,Lille bane 2,-6.152046860255478,-6.07483936939156,0.7141054569915317,-6.53593502397205,-5.766581939501004,-9.633425299324216,-2.5365480799415585,-6.53593502397205,-5.766581939501004
7,R8,'23-R8,Lille Bane,Lille bane 2,-6.07483936939156,-6.029483387272993,-5.472268591303331,-6.684072738984659,-5.461628486960935,-8.276617538558629,-3.820208514506551,-6.684072738984659,-5.461628486960935
8,R9,'23-R9,Lille Bane,Lille bane 2,-6.029483387272993,-5.601640773651173,8.172312817448745,-6.69690525349691,-5.357287274827948,-9.765677868803103,-2.138590018732678,-6.69690525349691,-5.357287274827948
9,R10,'23-R10,Lille Bane,Lille bane 2,-5.601640773651173,-5.940565568755507,-7.570484979427883,-6.664380456802387,-4.526800505110662,-8.179328538721153,-2.9515894099661044,-6.664380456802387,-4.526800505110662
10,R11,'23-R11,Lille Bane,Lille bane 2,-5.940565568755507,-6.376153895945269,-8.03340386054111,-6.947519676656288,-4.92271485098581,-8.146302663547612,-3.6818608061130687,-6.947519676656288,-4.92271485098581
11,R12,'23-R12,Lille Bane,Lille bane 2,-6.376153895945269,-3.766936461565751,-3.6754179609746807,-7.326064803049793,-5.416506370561624,-7.342642519075781,-5.399584041447536,-7.326064803049793,-5.416506370561624
12,R13,'23-R13,Lille Bane,Lille bane 2,-3.766936461565751,-3.63713440394251,-2.443330187158732,-4.161182708490319,-3.3710684281082592,-5.016438159656122,-2.500997661483395,-4.161182708490319,-3.3710684281082592
13,R14,'23-R14,Lille Bane,Lille bane 2,-3.63713440394251,-3.5174468926588487,50.25521175984595,-4.143113473085503,-3.128484532234499,-12.888062401408506,6.596203940181677,-4.143113473085503,-3.128484532234499
14,R15,'23-R15,Lille Bane,Lille bane 2,-3.5174468926588487,-3.4025396930545737,1.1426651257868459,-4.126204607917994,-2.9048238255131587,-7.339472281700409,0.46222791231187443,-4.126204607917994,-2.9048238255131587
15,R16,'23-R16,Lille Bane,Lille bane 2,-3.4025396930545737,-3.515351999604621,-3.863781264293731,-4.093243610559449,-2.7068614450685535,-4.818788452163658,-1.9652178616966776,-4.093243610559449,-2.7068614450685535
16,R17,'23-R17,Lille Bane,Lille bane 2,-3.515351999604621,-2.969082914594079,1.9854861969863302,-4.15561353653926,-2.870813375082437,-5.594451192602834,-1.3904646775299456,-4.15561353653926,-2.870813375082437
