x,gamma,step
-0.023274694050821977,-0.8445053118172517,1
-0.023372946654292615,-0.8472176816111494,2
-0.026274732761676363,-0.8664574337640386,3
-0.01969668690392863,-0.8574184231406541,4
-0.019907886913101122,-0.862749032908579,5
-0.021246170749241743,-0.8693407640916796,6
-0.020616148885274084,-0.8623710255751234,7
-0.02131334217286647,-0.8815357000675726,8
-0.019962267949698104,-0.8676503818885202,9
-0.020438711671333,-0.8807138803783411,10
-0.020079350017305438,-0.87786448254995,11
-0.019830667967196597,-0.8754493931202855,12
-0.021811658825154262,-0.8818154540592816,13
-0.0204229246771448,-0.8729424638159221,14
-0.017595924084819834,-0.8305011442592647,15
-0.018754482809045046,-0.8390684072054627,16
-0.018178824918920866,-0.8322316556196228,17
