x,gamma,step
0.02316900493863261,-0.014653509807032516,1
0.023308837920807346,-0.013087774491759742,2
0.02119210470963038,-0.027977719008268558,3
0.006943664065197815,-0.05094024305352609,4
0.006791068118840382,-0.05553357603605408,5
0.007541759591950131,-0.031829331067268846,6
0.014320196654895874,0.001877056241118162,7
0.011438753046398659,-0.03130267537314713,8
0.011217147664140925,-0.03745609596344391,9
0.011708134026379291,-0.031368737389023696,10
0.014565142965249977,-0.008717270482546093,11
0.01633768763548994,0.00826106604955101,12
0.022013221500215226,0.03554234435104447,13
0.02214608665608041,0.03744536903526193,14
0.02201868353385375,0.037578465562973125,15
0.024365325025821005,0.05850888012925628,16
