x,gamma,step
-0.005701615819428384,-0.2200312041556737,1
-0.006030682936511668,-0.22775841172956346,2
-0.007481167784595755,-0.2392673099044363,3
-0.011596102355940668,-0.27130284306439556,4
-0.013971342566928164,-0.29657505298353326,5
-0.004066975838108791,-0.26132548286641116,6
-0.006880239306585809,-0.2724775660950078,7
-0.010019800010700628,-0.30031895673970244,8
-0.010053858171325229,-0.29863063423302333,9
-0.010900519880829788,-0.3299948006087279,10
-0.012121227782947292,-0.339989980471289,11
-0.01473501473489398,-0.367217644375817,12
-0.014900455640461763,-0.3679694372493261,13
-0.01636920560119518,-0.37862734199602044,14
-0.016538727683712284,-0.3815149674858188,15
-0.016341955467422817,-0.3784426585412277,16
-0.0149645192332888,-0.36214345587505087,17
