x,gamma,step
-0.025097148993353545,-0.3681147292950494,1
-0.026478722340169583,-0.4096347269711425,2
-0.025719920092794515,-0.40046055298201294,3
-0.02586762305932251,-0.41181912489167494,4
-0.021013470577483956,-0.3187931727174655,5
-0.013352678307753408,-0.27813339986741326,6
-0.016839521787559156,-0.3068329233418603,7
-0.016091107315589912,-0.2660391037316178,8
-0.015190059495756126,-0.2140419939582405,9
-0.014813724899028267,-0.2079339724922688,10
-0.015233871113855156,-0.21540653958649855,11
-0.016816245668327602,-0.2304303962519283,12
-0.018905810372163656,-0.2504127893001004,13
