x,gamma,step
-0.05219740654960061,-0.7240162669515494,1
-0.05293020532724897,-0.7383407387999341,2
-0.0455134384524917,-0.7282539681466774,3
-0.04619982980061996,-0.7480059005442983,4
-0.04727033816422562,-0.7539351050749906,5
-0.049008814478313345,-0.7647185257293543,6
-0.04977229335155983,-0.7733157696185264,7
-0.05023041108911072,-0.7787837692029711,8
-0.05036500031587016,-0.7828718631419193,9
-0.052287622309517834,-0.8066964978388589,10
-0.05190888277395227,-0.7888395118558997,11
-0.04987033630147415,-0.7706811267709702,12
-0.04992071608071955,-0.7708434647626867,13
-0.041300175716020335,-0.7379155298506682,14
-0.04105885659083713,-0.735827196979492,15
-0.042010975328749256,-0.7515470720426396,16
-0.04382265590467982,-0.7670230797233304,17
-0.04569913123211699,-0.7822981901505206,18
