x,gamma,step
0.021211637995933598,0.33486752827949295,1
0.02468123464157055,0.36353707862021534,2
0.016537042388651335,0.34822840500530305,3
0.017353668950226202,0.36480553258400755,4
0.017343655278285172,0.36748211692520233,5
0.01766357006761296,0.37020724260537274,6
0.017541263559322645,0.3710737116109339,7
0.01688700243926395,0.36543184617589664,8
0.018406160004228338,0.3716424165228471,9
0.015081356922100494,0.34446153009882313,10
0.01635621258853202,0.3709228226743144,11
0.014411260884855203,0.3503995622905677,12
