x,gamma,step
0.01957413883346947,0.23090964341123915,1
0.024140825947022868,0.3227546947679017,2
0.017793326015882984,0.29347295976420085,3
0.01860019674797236,0.333644593528806,4
0.018419167735412887,0.3287324358500811,5
0.014146506673085155,0.2500552882734429,6
0.01246948014228107,0.22264172448404174,7
0.011908622735838712,0.2060386432620913,8
0.013657427352443643,0.2705469153843266,9
0.013704422490164445,0.2746587700781556,10
0.00890180768787218,0.2351727036965573,11
0.014323411907975682,0.3241633030731038,12
0.014808863627235517,0.3435265987310298,13
0.015295755905708846,0.35595089430676274,14
