x,gamma,step
-0.01421728711462383,0.07205492125818352,1
-0.01707848978144649,-0.03435181940883976,2
-0.016414828215464576,-0.02548434185736726,3
-0.019881373554251926,-0.03783825584070391,4
-0.02047062459010485,-0.07388113558204057,5
-0.020638165604149588,-0.07702149157515634,6
-0.02083858741321959,-0.07512943711928978,7
-0.021652902446613338,-0.1295571562805937,8
-0.022181849858264487,-0.15871552099868325,9
-0.024115183850243704,-0.2091756398079277,10
-0.01895029920666499,-0.12539530845935115,11
-0.013653191054800994,-0.03533221887199953,12
