x,gamma,step
-0.0033550914781231636,-0.09032923430309492,1
-0.00259962589160321,-0.07594810522147923,2
-0.0031884709683025272,-0.0800685915822874,3
-0.003212244994617744,-0.08492959332912513,4
-0.003723472126906903,-0.08724768361095454,5
0.0030823064346518205,-0.06370547659033082,6
0.012746365739527579,-0.027268829280546372,7
0.016560245876433198,0.0029789835124315635,8
0.01855192346139569,0.02834861119762886,9
0.01823963772330919,0.018819563309371824,10
0.01619357867366525,-0.003691960622167662,11
0.0166805360253485,0.016346323042560448,12
0.015197580857895333,0.0051712871540059765,13
0.014530048683172753,-0.0009070560109225743,14
0.009415697497452332,-0.019041675103597003,15
0.0046147289127641804,-0.05102415655119352,16
0.0024588382223201047,-0.08540717941551842,17
-0.0015392470310589634,-0.11945394545047937,18
-0.002203372744307836,-0.12332224463678158,19
