x,gamma,step
0.04520013646591426,0.3843033216797671,1
0.05203125473148746,0.5178373584780354,2
0.04182051183268321,0.4733520855183041,3
0.0432603771670693,0.5482352888784483,4
0.04192248143969867,0.44785632101881717,5
0.03401384651417119,0.30134672024312653,6
0.03018093143334287,0.23968798066394392,7
0.03212632463558175,0.2912925358535406,8
0.03289038971810532,0.3718540470506722,9
0.03638836325519987,0.4769790064921766,10
0.03251579910299278,0.40261691383134895,11
0.030625466084292084,0.3592792573357164,12
0.02362397726177586,0.30086809555325505,13
0.022737396012053407,0.2879016733505631,14
0.02386111310763729,0.32827308802564453,15
0.025230206478565602,0.356265865854575,16
